"module","size","p-val","Bonf","nInTerm","ont","termName"
"blue",1679,7e-04,1,16,"BP","phototransduction"
"blue",1679,0.00076,1,20,"BP","cellular metal ion homeostasis"
"blue",1679,0.00082,1,17,"BP","synaptic vesicle exocytosis"
"blue",1679,0.00083,1,6,"BP","presynapse assembly"
"blue",1679,0.00083,1,6,"MF","ammonium transmembrane transporter activ"
"blue",1679,9e-04,1,9,"BP","response to insecticide"
"blue",1679,0.00096,1,4,"BP","cellular sodium ion homeostasis"
"blue",1679,0.00096,1,4,"BP","serotonin receptor signaling pathway"
"blue",1679,0.00096,1,4,"BP","cellular potassium ion homeostasis"
"blue",1679,0.00096,1,4,"BP","sodium ion export across plasma membrane"
"blue",1679,0.00096,1,4,"BP","cellular response to glucose starvation"
"blue",1679,0.00096,1,4,"BP","regulation of presynaptic cytosolic calc"
"blue",1679,0.00096,1,4,"CC","sodium:potassium-exchanging ATPase compl"
"blue",1679,0.00096,1,4,"MF","delayed rectifier potassium channel acti"
"blue",1679,0.00096,1,4,"MF","sodium:potassium-exchanging ATPase activ"
"blue",1679,0.00097,1,13,"BP","response to anesthetic"
"blue",1679,0.00099,1,7,"BP","sodium ion transmembrane transport"
"blue",1679,0.001,1,5,"CC","cytoskeleton of presynaptic active zone"
"blue",1679,0.001,1,5,"MF","adrenergic receptor activity"
"blue",1679,0.0011,1,15,"BP","sodium ion transport"
"blue",1679,0.0012,1,19,"CC","receptor complex"
"blue",1679,0.0013,1,18,"CC","postsynapse"
"blue",1679,0.0014,1,19,"CC","neuron projection terminus"
"blue",1679,0.0015,1,8,"BP","sensory perception of bitter taste"
"blue",1679,0.0015,1,8,"CC","secretory granule"
"blue",1679,0.0015,1,10,"BP","neuron cellular homeostasis"
"blue",1679,0.0016,1,7,"BP","presynaptic active zone organization"
"blue",1679,0.0016,1,12,"BP","sensory perception of taste"
"blue",1679,0.0016,1,24,"BP","metal ion homeostasis"
"blue",1679,0.0017,1,29,"BP","signal release"
"blue",1679,0.0018,1,3,"BP","peptide amidation"
"blue",1679,0.0018,1,3,"BP","cellular response to dopamine"
"blue",1679,0.0018,1,3,"MF","dopamine neurotransmitter receptor activ"
"blue",1679,0.0018,1,3,"MF","peptidylamidoglycolate lyase activity"
"blue",1679,0.0018,1,3,"MF","serotonin:sodium symporter activity"
"blue",1679,0.0018,1,9,"BP","cyclic nucleotide metabolic process"
"blue",1679,0.0018,1,14,"BP","cellular calcium ion homeostasis"
"blue",1679,0.002,1,10,"MF","glutamate receptor activity"
"blue",1679,0.002,1,12,"BP","amino acid transmembrane transport"
"blue",1679,0.002,1,11,"BP","larval locomotory behavior"
"blue",1679,0.002,1,11,"BP","calcium ion transmembrane transport"
"blue",1679,0.0021,1,17,"BP","eye-antennal disc development"
"blue",1679,0.0021,1,5,"BP","regulation of sodium ion transport"
"blue",1679,0.0021,1,5,"BP","potassium ion homeostasis"
"blue",1679,0.0021,1,5,"CC","presynaptic active zone cytoplasmic comp"
"blue",1679,0.0021,1,5,"MF","voltage-gated calcium channel activity"
"blue",1679,0.0021,1,8,"BP","negative regulation of synaptic transmis"
"blue",1679,0.0022,1,34,"CC","extracellular matrix"
"blue",1679,0.0023,1,14,"BP","larval behavior"
"blue",1679,0.0023,1,39,"BP","cellular homeostasis"
"blue",1679,0.0025,1,9,"BP","antennal development"
"blue",1679,0.0025,1,9,"CC","growth cone"
"blue",1679,0.0025,1,9,"MF","taste receptor activity"
"blue",1679,0.0025,1,6,"BP","anesthesia-resistant memory"
"blue",1679,0.0025,1,6,"BP","mechanosensory behavior"
"blue",1679,0.0025,1,6,"BP","regulation of response to drug"
"blue",1679,0.0026,1,4,"CC","nucleotide-activated protein kinase comp"
"blue",1679,0.0026,1,4,"CC","BBSome"
"blue",1679,0.0026,1,4,"MF","oxidoreductase activity, acting on paire"
"blue",1679,0.0026,1,4,"MF","dipeptidase activity"
"blue",1679,0.0026,1,4,"MF","xenobiotic transmembrane transporter act"
"blue",1679,0.0027,1,41,"BP","secretion by cell"
"blue",1679,0.0028,1,14,"MF","microtubule motor activity"
"blue",1679,0.0029,1,17,"MF","motor activity"
"blue",1679,0.003,1,13,"BP","amino acid transport"
"blue",1679,0.003,1,8,"BP","positive regulation of circadian rhythm"
"blue",1679,0.003,1,18,"CC","axon terminus"
"blue",1679,0.0032,1,12,"MF","calcium channel activity"
"blue",1679,0.0033,1,9,"BP","regulation of cytosolic calcium ion conc"
"blue",1679,0.0033,1,9,"MF","ionotropic glutamate receptor activity"
"blue",1679,0.0034,1,10,"CC","dynein complex"
"blue",1679,0.0035,1,18,"BP","olfactory behavior"
"blue",1679,0.0035,1,18,"MF","odorant binding"
"blue",1679,0.0036,1,21,"BP","detection of stimulus involved in sensor"
"blue",1679,0.0038,1,5,"BP","action potential"
"blue",1679,0.0038,1,5,"BP","calcium ion import"
"blue",1679,0.0038,1,5,"BP","potassium ion import across plasma membr"
"blue",1679,0.0038,1,5,"MF","cell-cell adhesion mediator activity"
"blue",1679,0.0045,1,46,"BP","regulation of transport"
"blue",1679,0.0046,1,17,"BP","detection of chemical stimulus involved "
"blue",1679,0.0048,1,14,"CC","plasma membrane bounded cell projection "
"blue",1679,0.005,1,7,"BP","dendrite self-avoidance"
"blue",1679,0.0054,1,13,"BP","detection of chemical stimulus involved "
"blue",1679,0.0055,1,4,"BP","adenylate cyclase-activating adrenergic "
"blue",1679,0.0055,1,4,"BP","postsynaptic membrane assembly"
"blue",1679,0.0055,1,4,"CC","voltage-gated calcium channel complex"
"blue",1679,0.0055,1,4,"CC","integral component of synaptic vesicle m"
"blue",1679,0.0055,1,4,"CC","outer dynein arm"
"blue",1679,0.0055,1,8,"BP","visual behavior"
"blue",1679,0.0059,1,6,"BP","adult walking behavior"
"blue",1679,0.0059,1,6,"BP","positive regulation of circadian sleep/w"
"blue",1679,0.0059,1,6,"BP","cilium-dependent cell motility"
"blue",1679,0.0059,1,6,"CC","ciliary transition zone"
"blue",1679,0.0059,1,12,"MF","SNARE binding"
"blue",1679,0.006,1,33,"BP","regulation of synapse structure or activ"
"blue",1679,0.0063,1,5,"BP","adenylate cyclase-inhibiting G protein-c"
"blue",1679,0.0063,1,5,"BP","adult feeding behavior"
"blue",1679,0.0063,1,5,"BP","presynaptic membrane organization"
"blue",1679,0.0063,1,5,"BP","response to odorant"
"blue",1679,0.0064,1,3,"BP","glial cell apoptotic process"
"blue",1679,0.0064,1,3,"CC","intracellular cyclic nucleotide activate"
"blue",1679,0.0064,1,3,"CC","neuronal cell body membrane"
"blue",1679,0.0064,1,3,"MF","intracellular cyclic nucleotide activate"
"blue",1679,0.0065,1,33,"BP","response to radiation"
"blue",1679,0.0069,1,7,"BP","cyclic nucleotide biosynthetic process"
"blue",1679,0.0069,1,7,"BP","synaptic transmission, glutamatergic"
"blue",1679,0.0069,1,7,"BP","neurotransmitter biosynthetic process"
"blue",1679,0.0072,1,9,"BP","photoreceptor cell axon guidance"
"blue",1679,0.0073,1,8,"MF","neurotransmitter:sodium symporter activi"
"blue",1679,0.0074,1,22,"CC","microtubule associated complex"
"blue",1679,0.0084,1,6,"CC","axonemal dynein complex"
"blue",1679,0.0084,1,6,"MF","dynein light chain binding"
"blue",1679,0.009,1,13,"MF","amino acid transmembrane transporter act"
"blue",1679,0.0092,1,33,"BP","eye photoreceptor cell differentiation"
"blue",1679,0.0093,1,14,"BP","calcium ion transport"
"blue",1679,0.0098,1,5,"CC","calcium channel complex"
"blue",1679,0.0098,1,5,"MF","guanylate cyclase activity"
"blue",1679,0.01,1,4,"BP","neuron cell-cell adhesion"
"blue",1679,0.01,1,4,"BP","response to auditory stimulus"
"blue",1679,0.01,1,4,"BP","regulation of membrane potential in phot"
"blue",1679,0.01,1,4,"BP","presynaptic membrane assembly"
"brown",1042,3.2e-38,2.7e-34,84,"MF","serine-type peptidase activity"
"brown",1042,4.8e-38,4.1e-34,84,"MF","serine hydrolase activity"
"brown",1042,5.2e-34,4.4e-30,75,"MF","serine-type endopeptidase activity"
"brown",1042,2.5e-31,2.1e-27,118,"MF","peptidase activity"
"brown",1042,6.5e-24,5.5e-20,85,"MF","endopeptidase activity"
"brown",1042,7.8e-21,6.6e-17,228,"MF","hydrolase activity"
"brown",1042,2.2e-20,1.8e-16,138,"BP","proteolysis"
"brown",1042,1e-14,8.6e-11,35,"BP","chitin metabolic process"
"brown",1042,5.5e-14,4.7e-10,35,"MF","chitin binding"
"brown",1042,6e-14,5.1e-10,32,"MF","exopeptidase activity"
"brown",1042,1.1e-11,9.1e-08,126,"CC","extracellular region"
"brown",1042,5e-10,4.2e-06,372,"MF","catalytic activity"
"brown",1042,1.3e-09,1.1e-05,15,"MF","carboxypeptidase activity"
"brown",1042,1.8e-09,1.5e-05,83,"BP","transmembrane transport"
"brown",1042,5.2e-09,4.4e-05,22,"BP","fatty acid biosynthetic process"
"brown",1042,6.8e-09,5.7e-05,10,"MF","alkaline phosphatase activity"
"brown",1042,9.2e-09,7.8e-05,18,"MF","metalloexopeptidase activity"
"brown",1042,2.1e-07,0.0018,71,"CC","extracellular space"
"brown",1042,3.5e-07,0.003,27,"BP","fatty acid metabolic process"
"brown",1042,5.6e-07,0.0048,22,"MF","proton transmembrane transporter activit"
"brown",1042,6.8e-07,0.0057,15,"MF","aminopeptidase activity"
"brown",1042,1.4e-06,0.012,10,"MF","metallocarboxypeptidase activity"
"brown",1042,1.8e-06,0.016,7,"MF","phospholipase A1 activity"
"brown",1042,3.1e-06,0.026,5,"MF","serine-type carboxypeptidase activity"
"brown",1042,4e-06,0.034,10,"MF","fatty acid synthase activity"
"brown",1042,4e-06,0.034,10,"MF","proton-transporting ATPase activity, rot"
"brown",1042,6.4e-06,0.054,10,"CC","proton-transporting V-type ATPase comple"
"brown",1042,6.4e-06,0.054,10,"MF","solute:proton symporter activity"
"brown",1042,7.9e-06,0.067,25,"MF","metallopeptidase activity"
"brown",1042,8.7e-06,0.074,9,"BP","very long-chain fatty acid biosynthetic "
"brown",1042,1e-05,0.085,36,"MF","active transmembrane transporter activit"
"brown",1042,1.1e-05,0.091,8,"CC","plasma membrane proton-transporting V-ty"
"brown",1042,1.4e-05,0.12,9,"BP","fatty acid elongation"
"brown",1042,1.5e-05,0.13,10,"BP","ATP hydrolysis coupled proton transport"
"brown",1042,1.6e-05,0.13,75,"MF","transmembrane transporter activity"
"brown",1042,1.7e-05,0.15,5,"MF","serine-type exopeptidase activity"
"brown",1042,1.9e-05,0.16,8,"BP","fatty acid elongation, saturated fatty a"
"brown",1042,1.9e-05,0.16,8,"BP","fatty acid elongation, unsaturated fatty"
"brown",1042,1.9e-05,0.16,8,"BP","fatty acid elongation, monounsaturated f"
"brown",1042,1.9e-05,0.16,8,"BP","fatty acid elongation, polyunsaturated f"
"brown",1042,1.9e-05,0.16,22,"MF","carbohydrate binding"
"brown",1042,2.7e-05,0.23,35,"BP","lipid biosynthetic process"
"brown",1042,3.2e-05,0.27,8,"MF","fatty acid elongase activity"
"brown",1042,3.4e-05,0.29,9,"BP","peptide catabolic process"
"brown",1042,3.8e-05,0.32,6,"MF","maltose alpha-glucosidase activity"
"brown",1042,3.9e-05,0.33,33,"MF","transferase activity, transferring acyl "
"brown",1042,4.6e-05,0.39,62,"BP","lipid metabolic process"
"brown",1042,5.1e-05,0.43,8,"MF","carbohydrate:proton symporter activity"
"brown",1042,5.1e-05,0.43,12,"BP","sphingolipid biosynthetic process"
"brown",1042,5.1e-05,0.43,9,"MF","fatty acid ligase activity"
"brown",1042,5.1e-05,0.43,9,"MF","CoA-ligase activity"
"brown",1042,5.9e-05,0.5,16,"MF","lipase activity"
"brown",1042,6.8e-05,0.58,14,"CC","vacuolar membrane"
"brown",1042,6.9e-05,0.58,7,"CC","vacuolar proton-transporting V-type ATPa"
"brown",1042,7.9e-05,0.67,8,"MF","metalloaminopeptidase activity"
"brown",1042,1e-04,0.88,14,"BP","sphingolipid metabolic process"
"brown",1042,0.00015,1,19,"CC","peroxisome"
"brown",1042,0.00018,1,7,"MF","dipeptidyl-peptidase activity"
"brown",1042,0.00019,1,14,"MF","hydrolase activity, acting on carbon-nit"
"brown",1042,0.00019,1,17,"MF","hydrolase activity, hydrolyzing O-glycos"
"brown",1042,0.00022,1,23,"CC","vacuole"
"brown",1042,0.00031,1,29,"MF","transferase activity, transferring acyl "
"brown",1042,0.00036,1,9,"MF","phospholipase activity"
"brown",1042,0.00042,1,15,"CC","cell surface"
"brown",1042,0.00051,1,4,"MF","aminoacylase activity"
"brown",1042,0.00052,1,17,"MF","hydrolase activity, acting on glycosyl b"
"brown",1042,0.00052,1,17,"MF","hydrolase activity, acting on carbon-nit"
"brown",1042,0.00055,1,5,"CC","vacuolar proton-transporting V-type ATPa"
"brown",1042,0.00056,1,54,"MF","ion transmembrane transporter activity"
"brown",1042,0.00059,1,11,"MF","ATPase coupled ion transmembrane transpo"
"brown",1042,0.00063,1,20,"BP","lipid catabolic process"
"brown",1042,0.00094,1,5,"CC","proton-transporting V-type ATPase, V0 do"
"brown",1042,0.00096,1,6,"BP","wax biosynthetic process"
"brown",1042,0.00096,1,6,"MF","fatty-acyl-CoA reductase (alcohol-formin"
"brown",1042,0.0014,1,6,"BP","long-chain fatty-acyl-CoA metabolic proc"
"brown",1042,0.0015,1,5,"MF","galactose binding"
"brown",1042,0.0019,1,10,"BP","neuroblast differentiation"
"brown",1042,0.002,1,14,"BP","membrane lipid biosynthetic process"
"brown",1042,0.0021,1,4,"CC","vacuolar proton-transporting V-type ATPa"
"brown",1042,0.0023,1,8,"BP","stem cell fate determination"
"brown",1042,0.0024,1,16,"BP","cell fate specification"
"brown",1042,0.0026,1,12,"MF","symporter activity"
"brown",1042,0.0027,1,16,"BP","membrane lipid metabolic process"
"brown",1042,0.0033,1,7,"BP","neuroblast fate determination"
"brown",1042,0.0033,1,5,"BP","sterol transport"
"brown",1042,0.0033,1,5,"MF","alpha-mannosidase activity"
"brown",1042,0.0034,1,9,"BP","acyl-CoA metabolic process"
"brown",1042,0.0035,1,4,"BP","mannose metabolic process"
"brown",1042,0.0035,1,4,"BP","protein targeting to peroxisome"
"brown",1042,0.0035,1,4,"BP","Malpighian tubule tip cell differentiati"
"brown",1042,0.0035,1,4,"MF","secondary active sulfate transmembrane t"
"brown",1042,0.0037,1,10,"MF","ubiquitin protein ligase binding"
"brown",1042,0.0044,1,3,"BP","cuticle hydrocarbon biosynthetic process"
"brown",1042,0.0044,1,3,"BP","sex determination, establishment of X:A "
"brown",1042,0.0044,1,3,"BP","ribonucleoside monophosphate catabolic p"
"brown",1042,0.0047,1,5,"MF","mannosidase activity"
"brown",1042,0.0051,1,10,"MF","ubiquitin-like protein ligase binding"
"brown",1042,0.0052,1,14,"MF","carboxylic ester hydrolase activity"
"brown",1042,0.0054,1,44,"BP","cellular lipid metabolic process"
"brown",1042,0.0055,1,4,"CC","proton-transporting V-type ATPase, V1 do"
"brown",1042,0.0055,1,4,"MF","single-stranded DNA endodeoxyribonucleas"
"brown",1042,0.0062,1,2,"BP","induction of bacterial agglutination"
"brown",1042,0.0062,1,2,"BP","smooth septate junction assembly"
"brown",1042,0.0062,1,2,"MF","strictosidine synthase activity"
"brown",1042,0.0062,1,2,"MF","acid sphingomyelin phosphodiesterase act"
"brown",1042,0.0068,1,10,"BP","proton transmembrane transport"
"brown",1042,0.0071,1,37,"MF","cation transmembrane transporter activit"
"brown",1042,0.0075,1,6,"BP","regulation of intracellular pH"
"brown",1042,0.0077,1,7,"BP","neuroblast fate commitment"
"brown",1042,0.0082,1,4,"BP","sulfate transport"
"brown",1042,0.0082,1,4,"MF","sulfate transmembrane transporter activi"
"brown",1042,0.0085,1,5,"BP","leukocyte activation"
"brown",1042,0.009,1,35,"MF","inorganic cation transmembrane transport"
"brown",1042,0.0097,1,14,"BP","gastrulation"
"cyan",391,6.5e-09,5.5e-05,9,"MF","proton-transporting ATPase activity, rot"
"cyan",391,1.3e-07,0.0011,7,"CC","plasma membrane proton-transporting V-ty"
"cyan",391,2e-07,0.0017,8,"CC","proton-transporting V-type ATPase comple"
"cyan",391,4e-07,0.0034,8,"BP","ATP hydrolysis coupled proton transport"
"cyan",391,4.1e-07,0.0035,10,"MF","ATPase coupled ion transmembrane transpo"
"cyan",391,6.2e-07,0.0052,37,"BP","transmembrane transport"
"cyan",391,1.6e-06,0.013,14,"MF","chitin binding"
"cyan",391,1.7e-06,0.014,10,"BP","proton transmembrane transport"
"cyan",391,1.8e-06,0.015,17,"BP","inorganic cation transmembrane transport"
"cyan",391,5e-06,0.042,13,"BP","chitin metabolic process"
"cyan",391,8.2e-06,0.07,23,"BP","cation transport"
"cyan",391,8.9e-06,0.076,17,"BP","cation transmembrane transport"
"cyan",391,9.4e-06,0.08,4,"BP","response to copper ion"
"cyan",391,1e-05,0.085,12,"MF","ATPase activity, coupled to transmembran"
"cyan",391,1.1e-05,0.092,19,"MF","active transmembrane transporter activit"
"cyan",391,2.3e-05,0.19,9,"CC","vacuolar membrane"
"cyan",391,2.5e-05,0.22,35,"MF","transmembrane transporter activity"
"cyan",391,2.6e-05,0.22,29,"BP","ion transport"
"cyan",391,2.7e-05,0.23,20,"BP","ion transmembrane transport"
"cyan",391,3.1e-05,0.27,11,"MF","proton transmembrane transporter activit"
"cyan",391,4.1e-05,0.35,8,"BP","response to metal ion"
"cyan",391,4.4e-05,0.37,5,"CC","vacuolar proton-transporting V-type ATPa"
"cyan",391,1e-04,0.85,9,"BP","Malpighian tubule development"
"cyan",391,1e-04,0.85,21,"MF","inorganic cation transmembrane transport"
"cyan",391,1e-04,0.85,13,"BP","cation homeostasis"
"cyan",391,0.00011,0.95,14,"BP","response to toxic substance"
"cyan",391,0.00012,1,4,"CC","proton-transporting V-type ATPase, V1 do"
"cyan",391,0.00013,1,9,"BP","digestive tract morphogenesis"
"cyan",391,0.00015,1,5,"CC","lysosomal membrane"
"cyan",391,0.00017,1,13,"BP","ion homeostasis"
"cyan",391,0.00018,1,4,"CC","proton-transporting V-type ATPase, V0 do"
"cyan",391,2e-04,1,11,"BP","cellular ion homeostasis"
"cyan",391,2e-04,1,11,"BP","digestive tract development"
"cyan",391,0.00021,1,13,"BP","monovalent inorganic cation transport"
"cyan",391,0.00021,1,21,"MF","cation transmembrane transporter activit"
"cyan",391,0.00023,1,12,"MF","heme binding"
"cyan",391,0.00024,1,13,"MF","iron ion binding"
"cyan",391,0.00027,1,4,"BP","anterior Malpighian tubule development"
"cyan",391,0.00027,1,4,"MF","glutathione peroxidase activity"
"cyan",391,3e-04,1,26,"MF","ion transmembrane transporter activity"
"cyan",391,0.00034,1,7,"MF","antioxidant activity"
"cyan",391,0.00035,1,6,"MF","peroxidase activity"
"cyan",391,0.00038,1,4,"BP","iron ion homeostasis"
"cyan",391,0.00046,1,22,"MF","cofactor binding"
"cyan",391,0.00046,1,13,"MF","lipid binding"
"cyan",391,0.00055,1,11,"BP","fatty acid metabolic process"
"cyan",391,0.00057,1,6,"MF","oxidoreductase activity, acting on perox"
"cyan",391,0.00057,1,7,"BP","glutathione metabolic process"
"cyan",391,7e-04,1,4,"BP","response to zinc ion"
"cyan",391,0.00071,1,10,"BP","heart development"
"cyan",391,0.00074,1,3,"BP","cellular iron ion homeostasis"
"cyan",391,0.00076,1,6,"BP","transition metal ion homeostasis"
"cyan",391,0.00081,1,2,"BP","iron ion import across plasma membrane"
"cyan",391,0.00081,1,2,"BP","detoxification of iron ion"
"cyan",391,0.00081,1,2,"CC","collagen type IV trimer"
"cyan",391,0.00081,1,2,"CC","intracellular ferritin complex"
"cyan",391,0.00081,1,2,"MF","alpha-amylase activity"
"cyan",391,0.00081,1,2,"MF","phosphatidylinositol-5-phosphate binding"
"cyan",391,0.00081,1,2,"MF","pristanoyl-CoA oxidase activity"
"cyan",391,0.00082,1,25,"BP","homeostatic process"
"cyan",391,0.00088,1,10,"BP","metal ion homeostasis"
"cyan",391,0.0011,1,5,"BP","cardiocyte differentiation"
"cyan",391,0.0012,1,3,"BP","iron ion transport"
"cyan",391,0.0012,1,3,"CC","vacuolar proton-transporting V-type ATPa"
"cyan",391,0.0012,1,5,"BP","striated muscle tissue development"
"cyan",391,0.0013,1,11,"CC","vacuole"
"cyan",391,0.0017,1,8,"BP","cellular metal ion homeostasis"
"cyan",391,0.0017,1,5,"BP","transition metal ion transport"
"cyan",391,0.002,1,5,"BP","muscle tissue development"
"cyan",391,0.0024,1,13,"BP","metal ion transport"
"cyan",391,0.0024,1,3,"CC","vacuolar proton-transporting V-type ATPa"
"cyan",391,0.0024,1,2,"BP","ectoderm and mesoderm interaction"
"cyan",391,0.0024,1,2,"BP","response to iron ion"
"cyan",391,0.0024,1,2,"MF","amylase activity"
"cyan",391,0.0026,1,5,"BP","midgut development"
"cyan",391,0.0032,1,3,"BP","cardiac muscle tissue development"
"cyan",391,0.0042,1,3,"BP","vacuolar acidification"
"cyan",391,0.0047,1,2,"BP","positive regulation of axon extension in"
"cyan",391,0.0047,1,2,"CC","collagen trimer"
"cyan",391,0.0047,1,2,"MF","gamma-glutamylcyclotransferase activity"
"cyan",391,0.0048,1,5,"MF","glutathione transferase activity"
"cyan",391,0.006,1,4,"BP","regulation of cellular pH"
"cyan",391,0.0067,1,3,"MF","ATPase activity, coupled to transmembran"
"cyan",391,0.0068,1,7,"BP","divalent metal ion transport"
"cyan",391,0.0071,1,6,"MF","transferase activity, transferring alkyl"
"cyan",391,0.0074,1,86,"CC","membrane"
"cyan",391,0.0077,1,2,"BP","nucleoside transport"
"cyan",391,0.0077,1,2,"BP","iron ion transmembrane transport"
"cyan",391,0.0077,1,2,"BP","cardiac muscle cell differentiation"
"cyan",391,0.0077,1,2,"BP","nucleoside transmembrane transport"
"cyan",391,0.0077,1,2,"MF","nucleoside transmembrane transporter act"
"cyan",391,0.0077,1,2,"MF","proton-exporting ATPase activity, phosph"
"cyan",391,0.0077,1,2,"MF","acyl-CoA hydrolase activity"
"cyan",391,0.0077,1,2,"MF","phosphatidylinositol-3,5-bisphosphate bi"
"cyan",391,0.0079,1,46,"CC","plasma membrane"
"cyan",391,0.0088,1,5,"BP","Malpighian tubule morphogenesis"
"cyan",391,0.0089,1,7,"MF","hydrolase activity, hydrolyzing O-glycos"
"cyan",391,0.009,1,50,"CC","intrinsic component of membrane"
"darkgreen",68,4.9e-11,4.2e-07,31,"BP","signaling"
"darkgreen",68,9.8e-11,8.3e-07,31,"BP","cell communication"
"darkgreen",68,2.8e-10,2.3e-06,28,"BP","signal transduction"
"darkgreen",68,4.1e-10,3.5e-06,36,"BP","multicellular organism development"
"darkgreen",68,1.6e-09,1.4e-05,20,"BP","regulation of signal transduction"
"darkgreen",68,3e-09,2.6e-05,28,"BP","anatomical structure morphogenesis"
"darkgreen",68,1.6e-08,0.00014,36,"BP","anatomical structure development"
"darkgreen",68,2.7e-08,0.00023,17,"BP","morphogenesis of an epithelium"
"darkgreen",68,4.4e-08,0.00037,36,"BP","developmental process"
"darkgreen",68,5.5e-08,0.00047,15,"BP","regulation of localization"
"darkgreen",68,1.4e-07,0.0012,18,"BP","animal organ morphogenesis"
"darkgreen",68,1.9e-07,0.0016,16,"BP","cytoskeleton organization"
"darkgreen",68,2e-07,0.0017,19,"BP","generation of neurons"
"darkgreen",68,2.6e-07,0.0022,20,"BP","epithelium development"
"darkgreen",68,2.6e-07,0.0022,31,"MF","protein binding"
"darkgreen",68,3.5e-07,0.003,16,"BP","cell surface receptor signaling pathway"
"darkgreen",68,4e-07,0.0034,19,"BP","neurogenesis"
"darkgreen",68,4.1e-07,0.0035,22,"BP","animal organ development"
"darkgreen",68,4.2e-07,0.0036,26,"BP","cell differentiation"
"darkgreen",68,4.3e-07,0.0036,21,"BP","nervous system development"
"darkgreen",68,6.2e-07,0.0053,15,"BP","imaginal disc development"
"darkgreen",68,6.3e-07,0.0053,11,"BP","actin cytoskeleton organization"
"darkgreen",68,8.4e-07,0.0072,17,"BP","neuron differentiation"
"darkgreen",68,1.1e-06,0.0092,11,"BP","actin filament-based process"
"darkgreen",68,1.1e-06,0.0093,20,"BP","tissue development"
"darkgreen",68,1.5e-06,0.013,11,"BP","negative regulation of signal transducti"
"darkgreen",68,1.9e-06,0.016,13,"BP","epithelial tube morphogenesis"
"darkgreen",68,1.9e-06,0.016,15,"BP","neuron development"
"darkgreen",68,2e-06,0.017,16,"BP","tube development"
"darkgreen",68,3e-06,0.025,13,"BP","neuron projection development"
"darkgreen",68,3.8e-06,0.032,14,"BP","cell morphogenesis"
"darkgreen",68,4e-06,0.034,15,"BP","cell projection organization"
"darkgreen",68,4.2e-06,0.035,6,"BP","mushroom body development"
"darkgreen",68,4.2e-06,0.035,16,"BP","regulation of developmental process"
"darkgreen",68,4.4e-06,0.038,7,"BP","brain development"
"darkgreen",68,4.5e-06,0.038,13,"BP","tube morphogenesis"
"darkgreen",68,5.4e-06,0.046,22,"BP","cell development"
"darkgreen",68,9.5e-06,0.081,11,"BP","wing disc development"
"darkgreen",68,1.1e-05,0.093,14,"BP","intracellular signal transduction"
"darkgreen",68,1.2e-05,0.099,13,"BP","instar larval or pupal development"
"darkgreen",68,1.4e-05,0.12,7,"BP","head development"
"darkgreen",68,1.4e-05,0.12,7,"BP","regulation of cellular localization"
"darkgreen",68,1.9e-05,0.16,9,"BP","regulation of transport"
"darkgreen",68,2.3e-05,0.19,20,"CC","cell periphery"
"darkgreen",68,2.6e-05,0.22,5,"BP","regulation of intracellular transport"
"darkgreen",68,2.6e-05,0.22,31,"BP","cellular component organization"
"darkgreen",68,3.2e-05,0.27,10,"BP","axon development"
"darkgreen",68,3.4e-05,0.29,6,"BP","dorsal closure"
"darkgreen",68,3.4e-05,0.29,8,"BP","establishment or maintenance of cell pol"
"darkgreen",68,3.8e-05,0.32,10,"BP","taxis"
"darkgreen",68,3.8e-05,0.33,5,"BP","pole plasm assembly"
"darkgreen",68,4.1e-05,0.35,13,"BP","post-embryonic development"
"darkgreen",68,5.1e-05,0.43,8,"BP","central nervous system development"
"darkgreen",68,5.7e-05,0.49,18,"CC","plasma membrane"
"darkgreen",68,6.2e-05,0.53,6,"BP","synaptic vesicle cycle"
"darkgreen",68,6.3e-05,0.53,11,"BP","metamorphosis"
"darkgreen",68,6.4e-05,0.54,11,"BP","cell-cell signaling"
"darkgreen",68,6.8e-05,0.57,13,"BP","locomotion"
"darkgreen",68,7.9e-05,0.67,6,"BP","morphogenesis of embryonic epithelium"
"darkgreen",68,8.3e-05,0.71,10,"BP","imaginal disc morphogenesis"
"darkgreen",68,0.00011,0.96,11,"BP","cell morphogenesis involved in different"
"darkgreen",68,0.00012,0.99,10,"BP","protein phosphorylation"
"darkgreen",68,0.00012,1,5,"BP","oocyte anterior/posterior axis specifica"
"darkgreen",68,0.00013,1,4,"BP","hippo signaling"
"darkgreen",68,0.00013,1,3,"BP","negative regulation of cell adhesion"
"darkgreen",68,0.00013,1,5,"BP","regulation of embryonic development"
"darkgreen",68,0.00015,1,5,"BP","maternal determination of anterior/poste"
"darkgreen",68,0.00015,1,3,"BP","adherens junction assembly"
"darkgreen",68,0.00018,1,7,"CC","axon"
"darkgreen",68,0.00018,1,4,"BP","pole plasm oskar mRNA localization"
"darkgreen",68,0.00018,1,5,"BP","microtubule cytoskeleton organization in"
"darkgreen",68,2e-04,1,2,"BP","heparin metabolic process"
"darkgreen",68,2e-04,1,2,"BP","ephrin receptor signaling pathway"
"darkgreen",68,0.00021,1,4,"BP","regulation of cell adhesion"
"darkgreen",68,0.00022,1,8,"BP","wing disc morphogenesis"
"darkgreen",68,0.00023,1,10,"BP","cell morphogenesis involved in neuron di"
"darkgreen",68,0.00024,1,6,"CC","apical part of cell"
"darkgreen",68,0.00024,1,10,"BP","neuron projection morphogenesis"
