Category	Term	Count	percent	PValue	Genes	List_Total	Pop_Hits	Pop_Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Membrane	604	1.360054042	0.002426843	"CG15117, CG42817, CG4462, CG40498, CG5639, NHE3, SHAWN, DSCAM2, KUA, CG33303, ND-ASHI, RH50, CG15661, ATPSYNGAMMA, ATP7, CG42514, CG12194, TSP42EF, TSP42EG, TSP42EH, TSP42EI, CG40486, TSP42EJ, TSP42EL, CG31663, VACHT, IRK3, TSP42EN, LCCH3, HID, ARM, TSP42ER, KDELR, CG4459, CG43187, EO, MAN1, TSP42EA, CG42306, TSP42EB, CG15653, TSP42EE, NEB-CGP, CG31637, RAB6, CG4587, CG14298, CG1317, FW, AC78C, CG18249, DPR9, W, IR76A, PIS, RICH, CG7227, CG4293, PIO, INE, SUT2, IA-2, IR25A, MPC1, VPS60, CG4576, CG1309, CG5646, CUE, NINAD, CG43778, CG7589, GLURIIA, CG4984, ROST, COX8, CYP4S3, CG15211, NHA2, ATPSYNO, CG6512, CG42751, CG43078, CG31810, ZNT86D, DIP-ETA, CG4950, SLMAP, CG1572, CG12344, CG42747, CG32547, CG14223, CG12730, CG7530, MEIGO, CG33474, CYP313A4, FILI, OCT-TYRR, CYP313A1, CG4829, CG1667, CG31157, CG1665, CG15611, UNC80, ATPSYNF, PLUM, CG1662, L(2)01289, CG1358, DOP2R, MARF, UZIP, TSP2A, CG11077, JWA, NTPASE, CG3690, TWR, PMP34, CG42336, CMPY, CG42239, CG42235, SCGBETA, CG31272, EYA, CG13607, P24-1, CG5687, CG34310, CG3408, ALP4, CG13091, CG31689, NP15.6, SDHA, SDHB, ZNT63C, AKHR, SDHC, SSRBETA, UCP4A, SDHD, CG42329, CG11753, CG7011, WGN, CG10097, CG11741, MATS, CG6962, ZNT41F, CG17323, CG42394, CG17324, OCTBETA3R, ALPHACOP, FIE, CG3662, CG17322, MDR49, CG10960, TRAM, PORIN, HISCL1, ASPH, CG11437, CG11438, CG34430, DAT, CG18327, CYP309A2, CYP309A1, MEMBRIN, PATJ, CG14855, GABA-B-R2, MEC2, CG6959, PIG-S, CG10182, SEC61BETA, PIG-U, TACE, MGE, CG6656, CG32448, HAF, CYP6W1, PIG-C, FRTZ, FLO1, CG10073, WEK, CG9395, CG3842, CG3156, L(1)G0320, TIM9A, CG32276, CG32576, CYP6A22, CG32669, CYP6A20, CUBN, GAMMACOP, CSAT, ABCB7, CG3149, CG14830, CG6006, CYP6A17, SYT14, CG12910, SLC5A11, CG14204, RHO, CG14971, OATP30B, PPK30, RHOL, HO, ERGIC53, PCK, FER, CG6723, CG12159, INX7, CAV, LBM, CAR, CHER, CG3376, CG10864, ORCT2, CG32750, RIC-3, CG12290, CG2698, PPK20, PPK26, CG18869, IN, CG32069, UGT35B, CG11686, CG4753, CG15553, CG8861, CG8860, WIT, HS6ST, SIFAR, CG11825, UGT86DI, CG31103, CG10178, PPK10, IHOG, ESYT2, HBS, SEC63, CG44286, HYDR1, ECA, GR59F, CYP6V1, CG8888, GR59E, DHAP-AT, CG3500, SEC61GAMMA, CG13404, CG13409, PPK19, CG4630, BAI, CG3394, NLG1, CG32225, CG12025, HS3ST-A, CG7084, MDR65, RTNL1, CATSUP, CADPS, CG7896, DGKEPSILON, CG18549, KAR, CG6739, CG7497, ND-75, CG7382, PVR, CG9338, ND-B15, CG17636, CG30269, CYP4E2, CG2003, CYP4E3, SYT7, CG15279, CNGB, CG1092, OSTGAMMA, SHD, RAB26, TANGO13, CG13907, CG13220, CG44837, SNMP1, CYP4D8, TANK, CG1824, UIF, APPL, CG10311, CYP12B2, MAB-21, CG7091, CG8814, CG10737, ZIP71B, CG2310, CG32815, MYT1, CG43693, CG5823, GTP-BP, CG9220, CG13920, CG9702, SAU, CG30285, CG17111, VINC, MFS14, CG9706, BDL, SCB, CADN2, AC3, BOND, CLUMSY, CG6398, 7B2, CG1275, CG8475, RHEB, CG10337, CG17121, GPRK2, CG9717, CG9444, EAAT2, DPR19, OST48, CG43207, CG43208, DPR11, SYX8, CG18507, SYX6, CG10345, CG9628, ALPHASNAP, CG11388, CG17036, CYP28D1, FUR2, CG5059, TKR99D, CG6184, CG7943, NEP5, CG6282, CG10353, NEP1, NEP3, SCAP, CG44325, CG8399, FAS3, SEA, L(2)K09913, CG3822, CAPS, CAD89D, SUGB, CG10362, BET1, CG2930, VHAM8.9, MFRN, SOSIE, RHOBTB, NEMY, PAPI, ST, SEV, BUFFY, CG5037, CG9186, NMT, FUSL, OATP58DC, CG9743, MTCH, CG42492, SPOCK, ALDH-III, CG9662, SPASE22-23, CG17163, COG3, CG9657, CG9034, CG3078, CG5167, VGAT, CG33506, CTR1B, CG2604, CYP4G15, STIM, TSPO, SPI, CG16854, LOJ, CG9669, SPASE12, TM4SF, COX5A, CG34172, VMAT, LPR2, SPZ, CG1208, CG6154, CG34371, SPR, IR31A, ROBO3, CYP12D1-D, SPP, CG7708, PPK3, CHOP24, TUB, ARALAR1, RAS64B, SEC61ALPHA, SPT-I, CYP12D1-P, CG12502, STE24B, VHAM9.7-A, CON, UGT37A1, TMS1, CG10483, CG5196, YPS, PMP70, CLS, CG9416, COX7A, CG8654, CG42445, COX7C, ND-MLRQ, CG30008, MIRO, CG9514, QTC, CG8272, BETACOP, PPK, CYP311A1, TSP5D, JABBA, LIST, NRV2, CG34355, CG13078, CG7630, CG13384, SSK, FUCTB, WRY, FUCTA, CG1657, CG42456, RYR, CG17821, CG5484, CG14777, HTL, CG1907, CG13575, CG43210, GLURIA, CG5282, GLUT1, CG43324, OSTDELTA, MTHL8, DPPIII, CG5070, CG15814, MTOR, CG9410, GLI, MTHL5, SESB, DMTN, CG14401, CG8112, ORT, CG16953, RHO-5, NACHRALPHA2, CG14186, SLL, 5-HT2A, TUTL, CG10550, CG4239, DNT, CG8249, CG1103, SLV, CG5885, CG13255, CG4332, CG31785, GLCAT-I, CG8311, NACHRBETA2, DOP1R2, DOP1R1, ALT, CG5254, CG12404, CG33144, SP1173, PTC, NRT, ALK, CG13654, CNMA, KRN, 5-HT1A, SMO, 5-HT1B, GRK, DOR, DOT, PAIN, CG5262, CG5892, CG12541, SHAL, WSCK, CG6479, CG14196, CG4341, MINO, TRPGAMMA, ACPH-1, GR98A, WOL, CG15922, FRC, HS2ST, CG34113, FMRFAR, CG31729, BOSS, CG33774, CG34396, DER-1, PTR, SNZ, PROC-R, UGT37C1, GLCT-1, SPASE25, DRL, SOG, CG7881, CG5382, KR-H2, CG33977, WTRW, STMA, CG13284"	2291	2746	11424	1.096805226	0.571728408	0.155997266	3.267198371
INTERPRO	"IPR008952:Tetraspanin, EC2 domain"	15	0.033776177	0.002788504	"TSP42EF, TSP42EG, TSP42EH, TSP42EI, TSP42EJ, TSP42EL, TSP2A, TSP42EN, TM4SF, TSP42ER, TSP5D, LBM, TSP42EA, TSP42EB, TSP42EE"	1985	32	9553	2.255903652	0.998301209	0.549424586	4.758508723
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	31	0.069804098	0.002911191	"CLS, HSC70-4, ATPSYNO, ND-13B, CG3156, CG6512, CG11077, COX5A, MFRN, UQCR-C2, CG30493, ATPSYNGAMMA, MRPL32, CG8728, ADCK, CG7470, ARALAR1, MPC1, ABCB7, CG7616, CG1907, TTC19, SDHA, RFESP, SDHB, CG1824, UCP4A, SDHD, CG9410, SESB, RHO"	1705	90	8313	1.679393939	0.78485326	0.400791098	4.141195887
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	10	0.022517451	0.003054934	"GALK, CG9451, CG6218, CG3662, ACPH-1, CG6656, CG3534, CG12896, CG31469, CG10353"	1705	17	8313	2.868035191	0.800594363	0.331757093	4.341475038
SMART	SM00225:BTB	24	0.054041882	0.003340389	"CG11275, CG43120, CG12236, KEL, CG8924, TRL, CHINMO, LOLAL, CG32121, RDX, GCL, RHOBTB, BTBD9, BAB1, AB, CG3711, MRI, CG7058, KTL, CG6765, CG15097, SHAL, CG34376, TANGO10"	914	66	4557	1.813009747	0.735971998	0.486163448	4.556514101
GOTERM_CC_DIRECT	GO:0030018~Z disc	15	0.033776177	0.00345592	"CG14207, HSC70-4, STV, TPI, TN, MLP60A, RYR, ZASP66, ACTN, ZORMIN, PGLYM78, MLP84B, L(2)EFL, ROLS, PGK"	1705	33	8313	2.216209011	0.838689469	0.305723374	4.898117442
UP_SEQ_FEATURE	transit peptide:Mitochondrion	35	0.078811079	0.00352571	"FDX1, ATPSYNO, COX7A, MTTFB2, ND-ACP, BONSAI, COX5A, MRPL11, CG30493, MRPL10, SHD, CG12264, PPL, ATPSYNGAMMA, CYP12D1-D, CG17896, MRPL32, MRPL34, MRPL35, NMDMC, CG3267, CG14757, CYP12D1-P, MRPL24, SDHA, SDHB, MRPL22, SLGA, SDHD, CYP12B2, CG1544, CG9410, CG7280, ND-75, CG15093"	561	109	2782	1.592340022	0.990004793	0.784590959	5.605766748
INTERPRO	IPR018499:Tetraspanin/Peripherin	15	0.033776177	0.003930712	"TSP42EF, TSP42EG, TSP42EH, TSP42EI, TSP42EJ, TSP42EL, TSP2A, TSP42EN, TM4SF, TSP42ER, TSP5D, LBM, TSP42EA, TSP42EB, TSP42EE"	1985	33	9553	2.187542936	0.999876026	0.631933988	6.645337901
INTERPRO	"IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1"	15	0.033776177	0.003930712	"CG1486, CG1640, CG1427, CG10184, SPT-I, CG10361, CG11899, GOT2, CG12264, GOT1, CG6321, GAD1, CG3999, CG8745, CG5618"	1985	33	9553	2.187542936	0.999876026	0.631933988	6.645337901
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	19	0.042783157	0.003971411	"GSTT4, GSTE13, CG17636, GDAP1, GSTS1, CG4752, CG30022, CG4829, GSTD1, GSTE3, GSTD3, GSTE7, GSTE6, GSTO2, GSTD7, GSTE5, GSTE14, GSTO3, GSTD8"	1773	47	8604	1.961766929	0.999918513	0.956645956	6.738185756
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	114	0.256698942	0.004062225	"CG9272, LON, ND-B15, JHE, SHAWN, COX5A, CG3902, COX5B, UQCR-C2, UQCR-C1, GOT2, SHD, ATPSYNGAMMA, PORIN, CYP12D1-D, CG3999, MRPL35, CG34423, CG34424, CG2137, CG7470, ND-24, ARALAR1, CG14757, HID, CG11267, SLMO, RETM, RFESP, CG10214, MGE, ADK2, MDH2, MDH1, NC73EF, CLS, CG6984, ND-30, CG1640, FDX1, COX7A, MTTFB2, MTTFB1, ND-ACP, BONSAI, CG15390, EGM, CG12264, TIM9A, PPL, CG34454, CG17896, CYPE, ALDH, ND-49, MPC1, L(1)G0334, PTPMEG, CG1907, CG17996, CG7791, SLGA, GLS, ARMI, CG1582, CG15093, SESB, ATPSYNO, PINK1, CG34132, CG6512, CG10340, CG30022, CG6388, CG12091, TRX-2, FMO-2, CG13551, NMDMC, L(1)G0255, BOR, SEA, ATPSYNF, HSC70-5, HSC70-4, MINO, L(2)37CC, PREL, GDAP1, RLUA-2, MFRN, CG10361, MRPL13, MRPL18, PRX3, GSTO2, CG8745, ARC42, CYT-C1, MTCH, MTRNAPOL, DNAPOL-GAMMA35, TTC19, SDHA, MRPL24, MRPL22, P32, SDHC, PHB2, CG31381, CG9547, SCOT, CG1544, ND-75"	1705	440	8313	1.263239136	0.882949796	0.300595059	5.73405516
INTERPRO	IPR013766:Thioredoxin domain	14	0.031524431	0.004332103	"L(2)01289, PRX6005, PDI, CG9302, CABP1, CG12896, PRTP, PRX2540-1, ERP60, PRX2540-2, PRX3, JAFRAC2, JAFRAC1, TRX-2"	1985	30	9553	2.245877414	0.999950623	0.629017983	7.299991578
UP_KEYWORDS	Electron transport	14	0.031524431	0.004425703	"FDX1, ND-ACP, CG1275, NEMY, CG8399, SDHA, RFESP, SDHB, ND-ASHI, SDHD, CG10337, ND-75, CG13078, TRX-2"	2291	31	11424	2.251953648	0.787326728	0.227404539	5.883606226
KEGG_PATHWAY	dme00010:Glycolysis / Gluconeogenesis	18	0.040531412	0.004459842	"IMPL3, ALDH, TPI, CG31075, CG10467, L(1)G0334, FBP, CG7430, ALDH-III, CG32444, PGLYM78, PMM45A, GAPDH2, PGI, ADH, PFK, PGM, PGK"	538	41	2402	1.960105177	0.417745634	0.044070063	5.008954529
INTERPRO	"IPR013816:ATP-grasp fold, subdomain 2"	8	0.018013961	0.004854612	"GSS, ACC, SUCB, SYN, CG32495, ATPCL, ADE3, CG2118"	1985	12	9553	3.208396306	0.999985112	0.635944421	8.145703199
UP_KEYWORDS	Calcium	35	0.078811079	0.005154507	"STIM, LECTIN-37DA, CAD89D, TRPGAMMA, CG5890, TPNC73F, CALR, AMY-D, MIRO, PXN, MLC-C, WUPA, AMY-P, TLD, CG32373, MLC2, CADN2, CUBN, CG7646, WRY, EIP63F-1, SQH, ARALAR1, RYR, ANXB10, SPOCK, ACTN, CALPA, TPNC47D, CADPS, CANB, ANXB9, TPNC41C, GRASS, AMYREL"	2291	111	11424	1.572309979	0.835291043	0.227137101	6.821144356
INTERPRO	"IPR020849:Small GTPase superfamily, Ras type"	10	0.022517451	0.005498436	"CG8500, RAS64B, RGK1, RHEB, RIC, CG14669, CG5160, CG8519, CG30158, RGK2"	1985	18	9553	2.673663588	0.999996605	0.649860429	9.177766764
GOTERM_BP_DIRECT	GO:0055088~lipid homeostasis	14	0.031524431	0.005620889	"ARC42, ADCK, CG17544, BMM, SNMP1, PTC, CG3902, CG7616, EGM, BOSS, AKHR, CG9547, ACOX57D-D, MYC"	1773	31	8604	2.191583429	0.999998386	0.964354606	9.408970807
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	14	0.031524431	0.005620889	"NC73EF, L(1)G0255, CG7430, SUCB, SDHA, KLU, SDHB, SDHC, SDHD, BARR, CG1544, MDH2, CG5599, MDH1"	1773	31	8604	2.191583429	0.999998386	0.964354606	9.408970807
GOTERM_MF_DIRECT	GO:0008307~structural constituent of muscle	9	0.020265706	0.005928136	"TINA-1, SYN1, SYN2, ROLS, MLP84B, DYB, FLN, SCGBETA, MHC"	1643	15	7786	2.843335362	0.998421323	0.800669685	9.055260871
GOTERM_CC_DIRECT	GO:0016020~membrane	92	0.207160549	0.006583485	"CG9444, CG15211, CORIN, CENG1A, ERGIC53, PVF1, CG5160, ZNT41F, CG8112, PVF2, SYT7, CG10345, CG6723, ALPHASNAP, CG1572, RH50, CG17036, CG12056, CG4239, CAR, IR31A, SPP, CG11437, GLCAT-I, PPK20, CG8500, ANCE-3, CG12730, CG12404, RAS64B, SNMP1, SEC61ALPHA, ALK, MEC2, CG8860, TMS1, RFESP, WIT, DRONGO, INVADOLYSIN, CLS, L(2)37CC, RLB1, ZIP71B, RIC, CG14669, CG2930, CG8519, MYT1, GALK, W, ST, CG9084, PIS, RICH, CG7227, SEC61GAMMA, LAMC, CG32669, CG30281, CG42235, SNZ, NMT, SNAP25, ANCE, CG32225, MTCH, FUCTA, CG5687, IR25A, BMM, CG1657, RGK1, SCRAMB1, ANXB10, CATSUP, CG11999, CG31689, RGK2, GLURIA, COG3, CG9657, NINAD, CG43778, PHB2, RHEB, MTM, DPPIII, CG30158, ND-75, ROST, SLC5A11"	1705	350	8313	1.281602011	0.969222391	0.391818011	9.137386129
INTERPRO	IPR000301:Tetraspanin	13	0.029272686	0.006732251	"TSP42EF, TSP42EG, TSP42EH, TSP42EI, TSP5D, TSP42EL, TSP2A, TSP42EN, TSP42EA, TM4SF, TSP42ER, TSP42EB, TSP42EE"	1985	28	9553	2.234418856	0.999999801	0.694804926	11.12512319
UP_KEYWORDS	Capsid protein	5	0.011258726	0.006766057	"ALPHACOP, EPSILONCOP, GAMMACOP, ZETACOP, DELTACOP"	2291	5	11424	4.986468791	0.906461169	0.256340736	8.86360169
GOTERM_MF_DIRECT	GO:0005184~neuropeptide hormone activity	14	0.031524431	0.006924266	"NPLP1, FMRFA, NPLP3, DH31, NPF, NPLP4, CAPA, CNMA, PROC, SNPF, HUG, CCHA1, CCHA2, EH"	1643	31	7786	2.140144896	0.99946805	0.778601723	10.49924892
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	58	0.130601216	0.00692833	"STIM, SPI, OSBP, WBL, CG6962, SRP68, CYP4E3, PRTP, RHO-5, TAPDELTA, CG11257, CG33303, CG17324, CG17322, TRAL, CG16817, SPP, PH4ALPHAEFB, RINT1, SEC61ALPHA, SEL, CG8507, TANK, KRN, KDELR, GRK, CG5196, FKBP14, CG17593, JAFRAC2, MINO, WOL, CABP1, L(1)G0320, ERP60, CALR, ESYT2, CG5823, MANF, CG32276, TWR, BUFFY, GRASP65, SEC23, CG9186, CG5862, PDI, CG9302, GAMMACOP, SPOCK, RTNL1, BOCA, KR-H2, MAPMODULIN, SSRBETA, CG33977, RHO, CG13284"	1705	205	8313	1.379454975	0.9743686	0.367447551	9.593878355
UP_SEQ_FEATURE	domain:EF-hand 3	9	0.020265706	0.007131627	"MLC-C, MLC2, CANB, TPNC41C, EIP63F-1, ARALAR1, TPNC73F, CALPA, TPNC47D"	561	16	2782	2.789438503	0.99991154	0.903019016	11.03297072
KEGG_PATHWAY	dme01230:Biosynthesis of amino acids	21	0.047286647	0.007533286	"CG1640, CG7470, TPI, IRP-1B, IRP-1A, CG10184, CG6287, P5CR, GOT2, CG11899, CG9510, PGLYM78, CG9674, GOT1, CG8129, GAPDH2, CG8036, CG6767, PFK, TALDO, PGK"	538	53	2402	1.769025742	0.599474703	0.067963172	8.326313615
INTERPRO	"IPR024706:Peroxiredoxin, AhpC-type"	5	0.011258726	0.007740412	"PRX6005, CG12896, JAFRAC1, PRX2540-1, PRX2540-2"	1985	5	9553	4.812594458	0.99999998	0.718523299	12.68703361
GOTERM_CC_DIRECT	GO:0005751~mitochondrial respiratory chain complex IV	8	0.018013961	0.00801702	"COX7A, COX7C, ND-MLRQ, COX5A, LEVY, COX5B, CYPE, COX6B"	1705	13	8313	3.000406046	0.985621144	0.375830271	11.02107161
INTERPRO	"IPR018497:Peptidase M13, C-terminal domain"	11	0.024769196	0.008032724	"CG14523, CG8550, NEP5, CG9505, CG14528, CG5527, CG14529, NEP1, CG14526, CG14527, NEP3"	1985	22	9553	2.406297229	0.99999999	0.707138369	13.13504008
KEGG_PATHWAY	dme00020:Citrate cycle (TCA cycle)	14	0.031524431	0.008075563	"NC73EF, IRP-1B, IRP-1A, L(1)G0255, ATPCL, L(1)G0334, CG7430, SUCB, SDHA, SDHB, SDHC, SDHD, MDH2, MDH1"	538	30	2402	2.083519207	0.625105254	0.067680101	8.900526597
GOTERM_MF_DIRECT	GO:0051920~peroxiredoxin activity	5	0.011258726	0.0082011	"PRX6005, CG12896, JAFRAC1, PRX2540-1, PRX2540-2"	1643	5	7786	4.73889227	0.999868287	0.774435007	12.3187244
INTERPRO	"IPR024079:Metallopeptidase, catalytic domain"	18	0.040531412	0.008355794	"CG7631, CG11771, CG14523, NEP5, CG9505, CG5527, NEP1, NEP3, CG13283, CG8550, CG7791, TACE, CG14528, CG14529, TOK, CG14526, TLD, CG14527"	1985	46	9553	1.883189136	0.999999995	0.698142683	13.62766608
GOTERM_BP_DIRECT	GO:0007479~leg disc proximal/distal pattern formation	9	0.020265706	0.008362545	"B-H1, DPP, B-H2, EXD, TSH, AP, DISCO, RHO, DAC"	1773	16	8604	2.729695431	0.999999998	0.981198059	13.68925035
INTERPRO	IPR012336:Thioredoxin-like fold	34	0.076559333	0.008894363	"L(2)01289, PRX6005, CABP1, GDAP1, WBL, PRX2540-1, GSTS1, PRTP, ERP60, OSTGAMMA, PRX2540-2, GSTD1, GSTD3, PRX3, GSTO2, GSTD7, GSTE14, GSTO3, GSTD8, TRX-2, PDI, GSTT4, GSTE13, CG9302, ND-24, CG12896, GSTE3, GSTE7, CG8042, JAFRAC2, GSTE6, JAFRAC1, GSTE5, CL"	1985	107	9553	1.529235622	0.999999999	0.698905141	14.44304222
UP_KEYWORDS	Mitochondrion	61	0.137356451	0.009282512	"CG9272, LON, ATPSYNO, CG34132, COX5A, CG30493, ND-ASHI, SHD, ATPSYNGAMMA, PORIN, CYP12D1-D, MRPL32, MRPL34, MRPL35, NMDMC, CG3267, ARALAR1, CG14757, CYP12D1-P, SLMO, RETM, RFESP, ATPSYNF, CYP12B2, ADK2, CLS, MRPS16, MARF, FDX1, PREL, COX7A, MTTFB2, MTTFB1, ND-ACP, BONSAI, CG11077, MFRN, MIRO, MRPL11, MRPL10, MRPL13, TIM9A, CG12264, PPL, CG17896, MPC1, TTC19, MRPL24, SDHA, MRPL23, SDHB, MRPL22, SLGA, SDHD, SCOT, CG1544, CG9410, CG7280, ND-75, CG15093, SESB"	2291	225	11424	1.351887094	0.961408611	0.303464302	11.97009578
GOTERM_MF_DIRECT	GO:0004129~cytochrome-c oxidase activity	10	0.022517451	0.009464585	"COX7A, COX7C, CG5037, COX5A, LEVY, COX5B, CYPE, COX6B, COX8, CG34172"	1643	19	7786	2.494153826	0.999966966	0.770991735	14.08500367
UP_KEYWORDS	GTP-binding	32	0.072055843	0.009640634	"RHOL, MARF, RAB6, CENG1A, ALPHATUB84B, RIC, CG5160, CG14669, CG8519, GYC88E, BETATUB60D, BETATUB97EF, ALPHATUB84D, MIRO, GTP-BP, 128UP, CG1129, RAB26, MOCS1, ARL1, CG8500, RAS64B, RGK1, ALPHATUB85E, ARL5, RGK2, NON1, DND, CTA, ARF102F, RHEB, CG30158"	2291	103	11424	1.549194187	0.965983328	0.286869219	12.40412248
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	36	0.081062824	0.009812042	"E, CG31108, CG11453, CG6984, BLM, CG1640, SPDS, CG16854, AMY-D, MAL-B2, AGBE, SYN, AMY-P, CG4407, CG8036, CG6321, CG8768, MOCS1, ODC1, MAL-A4, CG16965, CG3394, ODC2, SPT-I, CG8475, JHEH3, CG1665, CG5955, CG7120, CG6028, CG12065, PIG-C, TFIIFALPHA, TFIIFBETA, CG5793, AMYREL"	1643	114	7786	1.496492296	0.999977424	0.737454245	14.56484785
INTERPRO	IPR000210:BTB/POZ-like	24	0.054041882	0.01003832	"CG11275, CG43120, CG12236, KEL, CG8924, TRL, CHINMO, LOLAL, CG32121, RDX, GCL, RHOBTB, BTBD9, BAB1, AB, CG3711, MRI, CG7058, KTL, CG6765, CG15097, SHAL, CG34376, TANGO10"	1985	69	9553	1.673945899	1	0.722014854	16.15094042
GOTERM_MF_DIRECT	GO:0004602~glutathione peroxidase activity	13	0.029272686	0.010563485	"PRX6005, GSTD1, GSTE3, GSTD3, GSTE7, GSTD7, GSTE6, GSTE5, JAFRAC1, PRX2540-1, GSTS1, GSTD8, PRX2540-2"	1643	29	7786	2.124331018	0.999990094	0.722035209	15.59402878
UP_KEYWORDS	Iron	49	0.11033551	0.010951765	"CYP4S3, CG9272, FDX1, HO, CYP4E2, CYP4E3, CG5493, GYC88E, CG5346, MFRN, COX5A, PXN, CG11257, CYP6V1, SHD, CYP311A1, CG12264, CG6870, CYP28D1, CYP12D1-D, CYP6A22, CYP6A20, TET, DNAPOL-ALPHA180, CG4858, MOCS1, CYP309A2, CYP309A1, ND-20, CANA1, IRP-1B, ND-24, IRP-1A, CYP313A4, GLOB1, CYP12D1-P, CYP4D8, CYP313A1, NINAB, SDHB, RFESP, CYP6A16, SDHD, CYP6A17, CYP4G15, CYP12B2, CG7280, CYP6W1, ND-75"	2291	175	11424	1.396211261	0.978576132	0.294879333	13.97628385
UP_SEQ_FEATURE	active site:Nucleophile	14	0.031524431	0.011014282	"EYA, PDI, GMD, PPT2, SGL, AMY-D, GAPDH2, AMY-P, CG17896, NSUN2, AMYREL, CDASE, RHO, TRX-2"	561	34	2782	2.04194191	0.999999466	0.9443382	16.5484372
UP_KEYWORDS	Glycosidase	30	0.067552353	0.011396588	"CG15117, BETAGLU, CG9272, CG13397, GCS2BETA, CG7997, AMY-D, MAL-B2, AGBE, TOBI, LMANI, CG8460, AMY-P, TREH, HEXO1, HEXO2, CG3376, MAL-A4, CG16965, FUCTA, LMANVI, CG7685, LYSX, ECT3, CHT7, IDGF4, CG15533, UDE, AMYREL, LMANIII"	2291	96	11424	1.558271497	0.981688893	0.283483466	14.50369712
GOTERM_CC_DIRECT	GO:0030126~COPI vesicle coat	6	0.013510471	0.011557394	"BETACOP, ALPHACOP, EPSILONCOP, GAMMACOP, ZETACOP, DELTACOP"	1705	8	8313	3.656744868	0.997815169	0.458071754	15.51853729
