Category	Term	Count	Percent	PValue	Genes	ListTotal	PopHits	PopTotal	FoldEnrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0046680~response to DDT	10	1.031991744	3.33E-05	"FBGN0025454, FBGN0050489, FBGN0031689, FBGN0039006, FBGN0031126, FBGN0034756, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0013773"	726	25	10147	5.590633609	0.039968649	0.010145518	0.053915893
GOTERM_CC_DIRECT	GO:0016020~membrane	48	4.953560372	4.84E-05	"FBGN0023479, FBGN0033366, FBGN0037239, FBGN0030421, FBGN0040370, FBGN0035076, FBGN0040298, FBGN0036984, FBGN0031988, FBGN0036353, FBGN0035091, FBGN0035090, FBGN0037612, FBGN0016122, FBGN0034433, FBGN0001079, FBGN0260795, FBGN0032167, FBGN0263199, FBGN0260812, FBGN0086357, FBGN0086359, FBGN0030607, FBGN0039900, FBGN0038309, FBGN0050280, FBGN0050281, FBGN0033713, FBGN0037846, FBGN0003292, FBGN0265002, FBGN0010551, FBGN0037163, FBGN0039593, FBGN0036463, FBGN0025693, FBGN0011288, FBGN0036144, FBGN0035815, FBGN0031449, FBGN0041191, FBGN0011705, FBGN0058006, FBGN0050035, FBGN0085407, FBGN0033644, FBGN0002031, FBGN0000241"	670	386	9939	1.844683319	0.012499609	0.003139658	0.063215864
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	32	3.302373581	5.66E-05	"FBGN0037110, FBGN0000473, FBGN0033304, FBGN0037612, FBGN0061492, FBGN0015623, FBGN0039006, FBGN0032799, FBGN0031126, FBGN0086687, FBGN0010383, FBGN0003292, FBGN0015038, FBGN0015037, FBGN0011016, FBGN0031689, FBGN0015032, FBGN0041337, FBGN0029906, FBGN0034756, FBGN0261020, FBGN0004797, FBGN0030367, FBGN0041191, FBGN0025454, FBGN0053113, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0015040, FBGN0013773, FBGN0039010"	670	218	9939	2.177516089	0.014598853	0.002936972	0.073907105
GOTERM_MF_DIRECT	GO:0004867~serine-type endopeptidase inhibitor activity	18	1.857585139	5.90E-05	"FBGN0031558, FBGN0024293, FBGN0028988, FBGN0038299, FBGN0036970, FBGN0031563, FBGN0262057, FBGN0265137, FBGN0050046, FBGN0031560, FBGN0031561, FBGN0002930, FBGN0044011, FBGN0051778, FBGN0026721, FBGN0051777, FBGN0033710, FBGN0063923"	672	81	9200	3.042328042	0.038090189	0.00645153	0.088228175
UP_KEYWORDS	Hydrolase	145	14.96388029	8.62E-05	"FBGN0033038, FBGN0032613, FBGN0001942, FBGN0039630, FBGN0033366, FBGN0034988, FBGN0034417, FBGN0035076, FBGN0036875, FBGN0259716, FBGN0038211, FBGN0025615, FBGN0001565, FBGN0003189, FBGN0019929, FBGN0260474, FBGN0039024, FBGN0010406, FBGN0004047, FBGN0033170, FBGN0039022, FBGN0023495, FBGN0034229, FBGN0030668, FBGN0036023, FBGN0036323, FBGN0052191, FBGN0030151, FBGN0038172, FBGN0038173, FBGN0020414, FBGN0020415, FBGN0035496, FBGN0000241, FBGN0039628, FBGN0034162, FBGN0259985, FBGN0039629, FBGN0030833, FBGN0030973, FBGN0029769, FBGN0023479, FBGN0039611, FBGN0036759, FBGN0002781, FBGN0032820, FBGN0038897, FBGN0013813, FBGN0001114, FBGN0270927, FBGN0028916, FBGN0033439, FBGN0032779, FBGN0037627, FBGN0014417, FBGN0051414, FBGN0020385, FBGN0086359, FBGN0261393, FBGN0035228, FBGN0042627, FBGN0032382, FBGN0037230, FBGN0029765, FBGN0015754, FBGN0027506, FBGN0037163, FBGN0051683, FBGN0035189, FBGN0250862, FBGN0032029, FBGN0035734, FBGN0011740, FBGN0010222, FBGN0260462, FBGN0023535, FBGN0013770, FBGN0037818, FBGN0030773, FBGN0050289, FBGN0030425, FBGN0050287, FBGN0026616, FBGN0043578, FBGN0039137, FBGN0030521, FBGN0039115, FBGN0050421, FBGN0032167, FBGN0000477, FBGN0033320, FBGN0052260, FBGN0283478, FBGN0037396, FBGN0038738, FBGN0010241, FBGN0031389, FBGN0261436, FBGN0031449, FBGN0039102, FBGN0032358, FBGN0037513, FBGN0261575, FBGN0034733, FBGN0036369, FBGN0030051, FBGN0030926, FBGN0051326, FBGN0030306, FBGN0030251, FBGN0035791, FBGN0026428, FBGN0030828, FBGN0063923, FBGN0263236, FBGN0030245, FBGN0014455, FBGN0015575, FBGN0015570, FBGN0016122, FBGN0039564, FBGN0029720, FBGN0038326, FBGN0030607, FBGN0051091, FBGN0034538, FBGN0031700, FBGN0030746, FBGN0031907, FBGN0050090, FBGN0037727, FBGN0051089, FBGN0023197, FBGN0036891, FBGN0010053, FBGN0029828, FBGN0030239, FBGN0039241, FBGN0039472, FBGN0010052, FBGN0261341, FBGN0039703, FBGN0003116, FBGN0035976, FBGN0034997"	942	1571	13837	1.355760121	0.021826568	0.002004197	0.112342204
INTERPRO	IPR000718:Peptidase M13	10	1.031991744	1.14E-04	"FBGN0032613, FBGN0030425, FBGN0037727, FBGN0029769, FBGN0039611, FBGN0039024, FBGN0039022, FBGN0259716, FBGN0037230, FBGN0039564"	801	28	10906	4.86267166	0.132632787	0.020122338	0.184666746
UP_KEYWORDS	Purine biosynthesis	6	0.619195046	1.44E-04	"FBGN0000052, FBGN0000053, FBGN0020385, FBGN0041194, FBGN0003204, FBGN0038467"	942	9	13837	9.792639774	0.036184274	0.003066552	0.187546516
UP_KEYWORDS	Transferase	103	10.62951496	2.64E-04	"FBGN0001942, FBGN0038873, FBGN0032945, FBGN0039543, FBGN0038588, FBGN0034887, FBGN0038603, FBGN0003189, FBGN0001079, FBGN0038302, FBGN0263199, FBGN0035484, FBGN0032799, FBGN0000442, FBGN0039407, FBGN0035348, FBGN0011737, FBGN0262866, FBGN0033853, FBGN0029906, FBGN0037146, FBGN0003366, FBGN0039030, FBGN0034214, FBGN0035298, FBGN0031489, FBGN0026755, FBGN0035401, FBGN0023477, FBGN0040257, FBGN0028841, FBGN0034382, FBGN0037186, FBGN0020389, FBGN0011205, FBGN0283494, FBGN0011754, FBGN0027073, FBGN0034277, FBGN0039091, FBGN0042627, FBGN0000053, FBGN0050438, FBGN0031428, FBGN0051683, FBGN0001187, FBGN0035107, FBGN0005278, FBGN0033815, FBGN0041194, FBGN0014427, FBGN0036030, FBGN0036381, FBGN0039010, FBGN0024194, FBGN0027579, FBGN0030891, FBGN0030421, FBGN0264607, FBGN0037613, FBGN0037612, FBGN0063493, FBGN0022774, FBGN0053303, FBGN0063499, FBGN0040376, FBGN0033686, FBGN0001125, FBGN0263200, FBGN0042175, FBGN0027560, FBGN0037607, FBGN0261020, FBGN0004797, FBGN0030612, FBGN0001124, FBGN0034521, FBGN0039464, FBGN0035266, FBGN0032287, FBGN0034035, FBGN0040298, FBGN0053120, FBGN0036927, FBGN0031988, FBGN0034137, FBGN0027453, FBGN0261931, FBGN0032726, FBGN0038463, FBGN0027558, FBGN0003292, FBGN0037723, FBGN0036144, FBGN0035082, FBGN0050008, FBGN0039241, FBGN0014031, FBGN0020236, FBGN0029823, FBGN0035978, FBGN0003062, FBGN0036622"	942	1072	13837	1.411345938	0.0652927	0.005180523	0.343333357
INTERPRO	IPR003663:Sugar/inositol transporter	7	0.722394221	2.75E-04	"FBGN0050035, FBGN0034045, FBGN0033644, FBGN0036316, FBGN0037387, FBGN0029932, FBGN0037386"	801	14	10906	6.807740325	0.291287456	0.042125162	0.446251593
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	53	5.469556244	2.81E-04	"FBGN0033038, FBGN0027579, FBGN0034258, FBGN0000406, FBGN0042185, FBGN0027945, FBGN0022774, FBGN0000449, FBGN0039115, FBGN0030679, FBGN0022160, FBGN0033079, FBGN0031824, FBGN0039674, FBGN0039827, FBGN0001125, FBGN0034390, FBGN0027610, FBGN0037146, FBGN0027794, FBGN0014877, FBGN0003423, FBGN0031240, FBGN0034356, FBGN0002031, FBGN0035298, FBGN0063923, FBGN0035266, FBGN0026741, FBGN0037186, FBGN0003312, FBGN0036927, FBGN0030407, FBGN0053503, FBGN0283494, FBGN0028646, FBGN0039856, FBGN0038662, FBGN0038326, FBGN0037801, FBGN0033918, FBGN0035228, FBGN0085453, FBGN0038519, FBGN0010551, FBGN0036824, FBGN0010052, FBGN0010222, FBGN0029823, FBGN0003067, FBGN0023535, FBGN0003388, FBGN0036381"	670	473	9939	1.662197469	0.070447702	0.012101548	0.366584888
GOTERM_BP_DIRECT	GO:0006730~one-carbon metabolic process	8	0.825593395	3.14E-04	"FBGN0010222, FBGN0039486, FBGN0032945, FBGN0014455, FBGN0020385, FBGN0036157, FBGN0030407, FBGN0005278"	726	20	10147	5.590633609	0.319514423	0.074100638	0.507674461
GOTERM_BP_DIRECT	GO:0006952~defense response	10	1.031991744	3.74E-04	"FBGN0034638, FBGN0262574, FBGN0283461, FBGN0030926, FBGN0040734, FBGN0040736, FBGN0067903, FBGN0041579, FBGN0039102, FBGN0025583"	726	33	10147	4.235328492	0.367861511	0.07359255	0.604574004
INTERPRO	"IPR008753:Peptidase M13, N-terminal domain"	9	0.92879257	3.84E-04	"FBGN0030425, FBGN0037727, FBGN0029769, FBGN0039611, FBGN0039024, FBGN0039022, FBGN0259716, FBGN0037230, FBGN0039564"	801	26	10906	4.713050994	0.381843336	0.052042802	0.622885133
INTERPRO	"IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1"	10	1.031991744	4.55E-04	"FBGN0014031, FBGN0029823, FBGN0037801, FBGN0014427, FBGN0001125, FBGN0037186, FBGN0036927, FBGN0001124, FBGN0036381, FBGN0022774"	801	33	10906	4.125903227	0.434367134	0.055387989	0.737446906
SMART	SM01318:SM01318	6	0.619195046	4.89E-04	"FBGN0030270, FBGN0051997, FBGN0052667, FBGN0030262, FBGN0030261, FBGN0085244"	322	12	5178	8.040372671	0.099429176	0.099429176	0.61825409
GOTERM_MF_DIRECT	GO:0022891~substrate-specific transmembrane transporter activity	8	0.825593395	5.00E-04	"FBGN0034479, FBGN0050035, FBGN0034045, FBGN0033644, FBGN0036316, FBGN0037387, FBGN0029932, FBGN0037386"	672	21	9200	5.215419501	0.28054061	0.045947385	0.745570808
UP_KEYWORDS	Pyridoxal phosphate	9	0.92879257	5.27E-04	"FBGN0014031, FBGN0029823, FBGN0037801, FBGN0014427, FBGN0037186, FBGN0036927, FBGN0036381, FBGN0013307, FBGN0022774"	942	29	13837	4.558642653	0.126162729	0.009586688	0.684564312
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	10	1.031991744	5.80E-04	"FBGN0014031, FBGN0029823, FBGN0037801, FBGN0014427, FBGN0001125, FBGN0037186, FBGN0036927, FBGN0001124, FBGN0036381, FBGN0022774"	801	34	10906	4.004553132	0.515788145	0.063803838	0.937648936
KEGG_PATHWAY	dme01200:Carbon metabolism	22	2.270381837	5.82E-04	"FBGN0023477, FBGN0012034, FBGN0029118, FBGN0029155, FBGN0037684, FBGN0032287, FBGN0001125, FBGN0036157, FBGN0001187, FBGN0032820, FBGN0037607, FBGN0030239, FBGN0014031, FBGN0038326, FBGN0061356, FBGN0029823, FBGN0037801, FBGN0032350, FBGN0014427, FBGN0036030, FBGN0024957, FBGN0001124"	249	109	2727	2.210456505	0.058232927	0.009949721	0.648023029
GOTERM_CC_DIRECT	GO:0005615~extracellular space	61	6.295149639	5.88E-04	"FBGN0040734, FBGN0034417, FBGN0024293, FBGN0038299, FBGN0265048, FBGN0000551, FBGN0033593, FBGN0030521, FBGN0039203, FBGN0087002, FBGN0052667, FBGN0035282, FBGN0010406, FBGN0030262, FBGN0041579, FBGN0030261, FBGN0037396, FBGN0034229, FBGN0034512, FBGN0010385, FBGN0028988, FBGN0036970, FBGN0262057, FBGN0085256, FBGN0032494, FBGN0038172, FBGN0038173, FBGN0035791, FBGN0034162, FBGN0030828, FBGN0026562, FBGN0044050, FBGN0031538, FBGN0038829, FBGN0016122, FBGN0044812, FBGN0040582, FBGN0034638, FBGN0040813, FBGN0002930, FBGN0034538, FBGN0029765, FBGN0014002, FBGN0030270, FBGN0034407, FBGN0036147, FBGN0039801, FBGN0042119, FBGN0265137, FBGN0028396, FBGN0038147, FBGN0260462, FBGN0033250, FBGN0038199, FBGN0051997, FBGN0037433, FBGN0085345, FBGN0032136, FBGN0044011, FBGN0013770, FBGN0040092"	670	584	9939	1.549476079	0.141899476	0.021624762	0.766402465
KEGG_PATHWAY	"dme00250:Alanine, aspartate and glutamate metabolism"	10	1.031991744	7.24E-04	"FBGN0014031, FBGN0041194, FBGN0001125, FBGN0037186, FBGN0032076, FBGN0036927, FBGN0001124, FBGN0038467, FBGN0033543, FBGN0003189"	249	29	2727	3.776485251	0.071888399	0.010601022	0.805143798
UP_KEYWORDS	Immunity	14	1.444788442	7.72E-04	"FBGN0035806, FBGN0028988, FBGN0040736, FBGN0067903, FBGN0043578, FBGN0004240, FBGN0028396, FBGN0044812, FBGN0030926, FBGN0040321, FBGN0041579, FBGN0025583, FBGN0035976, FBGN0010385"	942	70	13837	2.937791932	0.17944915	0.013098748	1.002336744
GOTERM_BP_DIRECT	GO:0046701~insecticide catabolic process	8	0.825593395	8.22E-04	"FBGN0025454, FBGN0031689, FBGN0039006, FBGN0031126, FBGN0034756, FBGN0000473, FBGN0033304, FBGN0013773"	726	23	10147	4.861420529	0.635059689	0.134114908	1.323933483
SMART	SM00638:LPD_N	4	0.412796698	9.01E-04	"FBGN0087002, FBGN0266369, FBGN0032136, FBGN0265048"	322	4	5178	16.08074534	0.175456556	0.091956254	1.135971829
INTERPRO	"IPR018497:Peptidase M13, C-terminal domain"	8	0.825593395	9.63E-04	"FBGN0030425, FBGN0037727, FBGN0029769, FBGN0039611, FBGN0039024, FBGN0039022, FBGN0259716, FBGN0039564"	801	23	10906	4.735819356	0.700279568	0.095532369	1.552978748
INTERPRO	"IPR013816:ATP-grasp fold, subdomain 2"	6	0.619195046	0.001074648	"FBGN0020236, FBGN0029118, FBGN0000053, FBGN0039877, FBGN0033246, FBGN0003189"	801	12	10906	6.807740325	0.739488162	0.098296717	1.732108544
UP_KEYWORDS	Amino-acid biosynthesis	6	0.619195046	0.001168345	"FBGN0052068, FBGN0014427, FBGN0020385, FBGN0030518, FBGN0038516, FBGN0039849"	942	13	13837	6.779519843	0.258641744	0.018530613	1.512785978
UP_KEYWORDS	Innate immunity	13	1.341589267	0.001284272	"FBGN0035806, FBGN0040736, FBGN0067903, FBGN0043578, FBGN0028396, FBGN0004240, FBGN0044812, FBGN0030926, FBGN0040321, FBGN0041579, FBGN0025583, FBGN0010385, FBGN0035976"	942	65	13837	2.937791932	0.280346197	0.019166011	1.661731186
KEGG_PATHWAY	dme00981:Insect hormone biosynthesis	7	0.722394221	0.001317924	"FBGN0028841, FBGN0003312, FBGN0010053, FBGN0003388, FBGN0010383, FBGN0000449, FBGN0010052"	249	15	2727	5.110843373	0.127013955	0.016836125	1.46113832
INTERPRO	IPR005814:Aminotransferase class-III	4	0.412796698	0.001487083	"FBGN0037186, FBGN0036927, FBGN0036381, FBGN0022774"	801	4	10906	13.61548065	0.844595712	0.124517727	2.389360534
INTERPRO	"IPR015816:Vitellinogen, beta-sheet N-terminal"	4	0.412796698	0.001487083	"FBGN0087002, FBGN0266369, FBGN0032136, FBGN0265048"	801	4	10906	13.61548065	0.844595712	0.124517727	2.389360534
INTERPRO	"IPR001747:Lipid transport protein, N-terminal"	4	0.412796698	0.001487083	"FBGN0087002, FBGN0266369, FBGN0032136, FBGN0265048"	801	4	10906	13.61548065	0.844595712	0.124517727	2.389360534
INTERPRO	"IPR011030:Vitellinogen, superhelical"	4	0.412796698	0.001487083	"FBGN0087002, FBGN0266369, FBGN0032136, FBGN0265048"	801	4	10906	13.61548065	0.844595712	0.124517727	2.389360534
INTERPRO	"IPR015819:Lipid transport protein, beta-sheet shell"	4	0.412796698	0.001487083	"FBGN0087002, FBGN0266369, FBGN0032136, FBGN0265048"	801	4	10906	13.61548065	0.844595712	0.124517727	2.389360534
KEGG_PATHWAY	dme00270:Cysteine and methionine metabolism	9	0.92879257	0.001530211	"FBGN0052068, FBGN0014455, FBGN0030518, FBGN0001125, FBGN0032726, FBGN0037723, FBGN0039849, FBGN0001124, FBGN0005278"	249	26	2727	3.791010195	0.145921695	0.017373138	1.694667185
INTERPRO	"IPR013815:ATP-grasp fold, subdomain 1"	5	0.515995872	0.001583534	"FBGN0029118, FBGN0000053, FBGN0039877, FBGN0033246, FBGN0003189"	801	8	10906	8.509675406	0.86228523	0.123809174	2.542466907
GOTERM_BP_DIRECT	GO:0006508~proteolysis	52	5.366357069	0.001800197	"FBGN0039630, FBGN0032613, FBGN0263236, FBGN0050289, FBGN0030425, FBGN0039611, FBGN0033366, FBGN0029769, FBGN0023479, FBGN0050287, FBGN0038897, FBGN0035076, FBGN0038211, FBGN0259716, FBGN0016122, FBGN0030521, FBGN0039564, FBGN0033439, FBGN0037627, FBGN0019929, FBGN0260474, FBGN0033320, FBGN0052260, FBGN0039024, FBGN0039022, FBGN0283478, FBGN0037396, FBGN0034229, FBGN0037230, FBGN0038738, FBGN0036023, FBGN0037727, FBGN0050090, FBGN0031389, FBGN0023197, FBGN0058470, FBGN0029828, FBGN0036891, FBGN0039102, FBGN0039240, FBGN0260462, FBGN0030051, FBGN0030926, FBGN0035496, FBGN0051326, FBGN0039703, FBGN0039628, FBGN0013770, FBGN0035791, FBGN0037818, FBGN0039629, FBGN0030773"	726	472	10147	1.539793155	0.890193001	0.241284856	2.87847361
SMART	SM00093:SERPIN	8	0.825593395	0.001939999	"FBGN0024293, FBGN0028988, FBGN0038299, FBGN0036970, FBGN0002930, FBGN0262057, FBGN0044011, FBGN0265137"	322	30	5178	4.288198758	0.340031362	0.129355022	2.430863415
GOTERM_BP_DIRECT	GO:0046323~glucose import	7	0.722394221	0.002119426	"FBGN0050035, FBGN0034045, FBGN0033644, FBGN0036316, FBGN0037387, FBGN0029932, FBGN0037386"	726	20	10147	4.891804408	0.925813537	0.251002241	3.380725268
GOTERM_BP_DIRECT	GO:0009620~response to fungus	7	0.722394221	0.002119426	"FBGN0022355, FBGN0038299, FBGN0036891, FBGN0002930, FBGN0040321, FBGN0039682, FBGN0039102"	726	20	10147	4.891804408	0.925813537	0.251002241	3.380725268
GOTERM_BP_DIRECT	GO:0035428~hexose transmembrane transport	7	0.722394221	0.002119426	"FBGN0050035, FBGN0034045, FBGN0033644, FBGN0036316, FBGN0037387, FBGN0029932, FBGN0037386"	726	20	10147	4.891804408	0.925813537	0.251002241	3.380725268
SMART	SM00645:Pept_C1	5	0.515995872	0.002257719	"FBGN0260462, FBGN0013770, FBGN0034229, FBGN0037396, FBGN0030521"	322	10	5178	8.040372671	0.38350076	0.113899184	2.823747857
GOTERM_MF_DIRECT	GO:0005355~glucose transmembrane transporter activity	7	0.722394221	0.002351585	"FBGN0050035, FBGN0034045, FBGN0033644, FBGN0036316, FBGN0037387, FBGN0029932, FBGN0037386"	672	20	9200	4.791666667	0.787574782	0.176050188	3.459828057
GOTERM_BP_DIRECT	GO:0042593~glucose homeostasis	5	0.515995872	0.002435225	"FBGN0023479, FBGN0034140, FBGN0038984, FBGN0086687, FBGN0000206"	726	9	10147	7.764768901	0.949673685	0.258383279	3.875182901
KEGG_PATHWAY	dme00052:Galactose metabolism	10	1.031991744	0.002527191	"FBGN0033377, FBGN0086254, FBGN0043783, FBGN0263200, FBGN0001187, FBGN0035978, FBGN0033101, FBGN0035147, FBGN0032382, FBGN0261575"	249	34	2727	3.221119773	0.229434152	0.025726308	2.784685457
GOTERM_BP_DIRECT	GO:0045087~innate immune response	17	1.754385965	0.002766836	"FBGN0283461, FBGN0035806, FBGN0040736, FBGN0067903, FBGN0043578, FBGN0039102, FBGN0004240, FBGN0028396, FBGN0044812, FBGN0030051, FBGN0030926, FBGN0041579, FBGN0014000, FBGN0040321, FBGN0025583, FBGN0035976, FBGN0010385"	726	104	10147	2.284633927	0.966521172	0.265675186	4.391840751
UP_KEYWORDS	Methionine biosynthesis	4	0.412796698	0.002825532	"FBGN0052068, FBGN0020385, FBGN0030518, FBGN0039849"	942	5	13837	11.75116773	0.515365335	0.039443254	3.622309965
UP_KEYWORDS	Glycosidase	16	1.651186791	0.003012599	"FBGN0034417, FBGN0026616, FBGN0270927, FBGN0035734, FBGN0261575, FBGN0028916, FBGN0014417, FBGN0011740, FBGN0020414, FBGN0051414, FBGN0020415, FBGN0034162, FBGN0032382, FBGN0034538, FBGN0029765, FBGN0034997"	942	100	13837	2.350233546	0.538091894	0.039836858	3.85779895
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	8	0.825593395	0.003253641	"FBGN0001125, FBGN0261722, FBGN0037186, FBGN0036927, FBGN0001124, FBGN0036381, FBGN0003334, FBGN0022774"	672	28	9200	3.911564626	0.882860087	0.212006262	4.757103353
GOTERM_MF_DIRECT	GO:0005351~sugar:proton symporter activity	7	0.722394221	0.003993643	"FBGN0050035, FBGN0034045, FBGN0033644, FBGN0036316, FBGN0037387, FBGN0029932, FBGN0037386"	672	22	9200	4.356060606	0.928143088	0.231494721	5.809158777
INTERPRO	"IPR000668:Peptidase C1A, papain C-terminal"	5	0.515995872	0.00421788	"FBGN0260462, FBGN0013770, FBGN0034229, FBGN0037396, FBGN0030521"	801	10	10906	6.807740325	0.99494677	0.28142341	6.638135993
INTERPRO	"IPR024079:Metallopeptidase, catalytic domain"	11	1.135190918	0.004620517	"FBGN0032613, FBGN0033038, FBGN0030425, FBGN0037727, FBGN0029769, FBGN0039611, FBGN0039024, FBGN0039022, FBGN0259716, FBGN0037230, FBGN0039564"	801	53	10906	2.825854474	0.996953197	0.288801478	7.249703807
INTERPRO	"IPR005829:Sugar transporter, conserved site"	9	0.92879257	0.004629634	"FBGN0028468, FBGN0050035, FBGN0034045, FBGN0033644, FBGN0036316, FBGN0034394, FBGN0037387, FBGN0029932, FBGN0037386"	801	37	10906	3.311873671	0.996987906	0.275668892	7.263506947
INTERPRO	IPR023796:Serpin domain	8	0.825593395	0.005095798	"FBGN0024293, FBGN0028988, FBGN0038299, FBGN0036970, FBGN0002930, FBGN0262057, FBGN0044011, FBGN0265137"	801	30	10906	3.63079484	0.998323658	0.285645433	7.966771918
INTERPRO	IPR000215:Serpin family	8	0.825593395	0.005095798	"FBGN0024293, FBGN0028988, FBGN0038299, FBGN0036970, FBGN0002930, FBGN0262057, FBGN0044011, FBGN0265137"	801	30	10906	3.63079484	0.998323658	0.285645433	7.966771918
KEGG_PATHWAY	"dme00280:Valine, leucine and isoleucine degradation"	9	0.92879257	0.005175078	"FBGN0038326, FBGN0036824, FBGN0039877, FBGN0034390, FBGN0036857, FBGN0036927, FBGN0037709, FBGN0030612, FBGN0035298"	249	31	2727	3.179556937	0.413989211	0.047422081	5.626467376
INTERPRO	"IPR020904:Short-chain dehydrogenase/reductase, conserved site"	7	0.722394221	0.005230916	"FBGN0036620, FBGN0000055, FBGN0039304, FBGN0037354, FBGN0040349, FBGN0030968, FBGN0029648"	801	23	10906	4.143841937	0.998585602	0.279674833	8.169676081
UP_KEYWORDS	Metal-binding	89	9.184726522	0.005491126	"FBGN0033038, FBGN0011676, FBGN0033366, FBGN0034988, FBGN0000406, FBGN0038603, FBGN0026616, FBGN0035076, FBGN0000473, FBGN0043578, FBGN0030121, FBGN0003334, FBGN0003189, FBGN0000449, FBGN0087002, FBGN0283478, FBGN0014931, FBGN0010383, FBGN0031726, FBGN0011737, FBGN0033686, FBGN0052068, FBGN0001320, FBGN0033377, FBGN0029155, FBGN0030518, FBGN0263200, FBGN0031689, FBGN0041337, FBGN0030966, FBGN0003651, FBGN0030151, FBGN0002868, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0267978, FBGN0038984, FBGN0034214, FBGN0030251, FBGN0027657, FBGN0034420, FBGN0050489, FBGN0002781, FBGN0003312, FBGN0040298, FBGN0033304, FBGN0053503, FBGN0086442, FBGN0016122, FBGN0028646, FBGN0263934, FBGN0015371, FBGN0039006, FBGN0086359, FBGN0031126, FBGN0027558, FBGN0085453, FBGN0032731, FBGN0015038, FBGN0036826, FBGN0000052, FBGN0015037, FBGN0000053, FBGN0036144, FBGN0015032, FBGN0034756, FBGN0004395, FBGN0005278, FBGN0020236, FBGN0003308, FBGN0030367, FBGN0041191, FBGN0011740, FBGN0010225, FBGN0001208, FBGN0039486, FBGN0003067, FBGN0041194, FBGN0003965, FBGN0005670, FBGN0023535, FBGN0003204, FBGN0024957, FBGN0037818, FBGN0015040, FBGN0003388, FBGN0035976, FBGN0013773"	942	992	13837	1.317860292	0.755759498	0.068053709	6.928149019
KEGG_PATHWAY	dme00040:Pentose and glucuronate interconversions	11	1.135190918	0.005872453	"FBGN0031418, FBGN0027073, FBGN0086254, FBGN0034417, FBGN0038463, FBGN0035978, FBGN0030968, FBGN0033101, FBGN0270927, FBGN0030737, FBGN0026755"	249	45	2727	2.677108434	0.454823483	0.049297225	6.362217786
GOTERM_BP_DIRECT	GO:0006164~purine nucleotide biosynthetic process	4	0.412796698	0.006168182	"FBGN0000052, FBGN0020385, FBGN0003204, FBGN0039241"	726	6	10147	9.317722681	0.999492295	0.468543604	9.542914638
GOTERM_BP_DIRECT	GO:0006189~'de novo' IMP biosynthetic process	4	0.412796698	0.006168182	"FBGN0000052, FBGN0000053, FBGN0041194, FBGN0038467"	726	6	10147	9.317722681	0.999492295	0.468543604	9.542914638
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	13	1.341589267	0.006244332	"FBGN0033038, FBGN0001125, FBGN0036927, FBGN0030407, FBGN0022774, FBGN0035529, FBGN0014877, FBGN0003423, FBGN0039877, FBGN0031824, FBGN0001124, FBGN0035298, FBGN0003116"	670	79	9939	2.441092008	0.803799177	0.18419267	7.861391365
GOTERM_MF_DIRECT	GO:0008084~imaginal disc growth factor receptor binding	4	0.412796698	0.006536341	"FBGN0020414, FBGN0020415, FBGN0020416, FBGN0064237"	672	6	9200	9.126984127	0.986633852	0.324481986	9.342027949
INTERPRO	"IPR025661:Cysteine peptidase, asparagine active site"	4	0.412796698	0.006646886	"FBGN0260462, FBGN0013770, FBGN0034229, FBGN0030521"	801	6	10906	9.076987099	0.999761946	0.327858432	10.2709108
INTERPRO	"IPR006139:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"	4	0.412796698	0.006646886	"FBGN0032350, FBGN0032889, FBGN0051673, FBGN0051674"	801	6	10906	9.076987099	0.999761946	0.327858432	10.2709108
INTERPRO	"IPR006140:D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding"	4	0.412796698	0.006646886	"FBGN0032350, FBGN0032889, FBGN0051673, FBGN0051674"	801	6	10906	9.076987099	0.999761946	0.327858432	10.2709108
INTERPRO	IPR011761:ATP-grasp fold	4	0.412796698	0.006646886	"FBGN0000053, FBGN0039877, FBGN0033246, FBGN0003189"	801	6	10906	9.076987099	0.999761946	0.327858432	10.2709108
INTERPRO	IPR000089:Biotin/lipoyl attachment	4	0.412796698	0.006646886	"FBGN0039877, FBGN0027945, FBGN0030612, FBGN0033246"	801	6	10906	9.076987099	0.999761946	0.327858432	10.2709108
KEGG_PATHWAY	dme00330:Arginine and proline metabolism	11	1.135190918	0.006918366	"FBGN0003423, FBGN0001125, FBGN0037723, FBGN0038516, FBGN0023535, FBGN0036857, FBGN0031860, FBGN0037146, FBGN0001124, FBGN0013307, FBGN0022774"	249	46	2727	2.618910424	0.5108412	0.05351981	7.455900396
