From,To,Species,Gene Name
FBgn0036571,39766,Drosophila melanogaster,CG12272 gene product from transcript CG12272-RB(Strumpellin)
FBgn0035978,39065,Drosophila melanogaster,CG4347 gene product from transcript CG4347-RE(UGP)
FBgn0039703,43522,Drosophila melanogaster,CG7829 gene product from transcript CG7829-RA(CG7829)
FBgn0031715,33779,Drosophila melanogaster,tombola(tomb)
FBgn0036180,39302,Drosophila melanogaster,CG6091 gene product from transcript CG6091-RF(CG6091)
FBgn0042175,326109,Drosophila melanogaster,CG18858 gene product from transcript CG18858-RB(CG18858)
FBgn0020414,34981,Drosophila melanogaster,Imaginal disc growth factor 3(Idgf3)
FBgn0037723,41167,Drosophila melanogaster,Spermidine Synthase(SpdS)
FBgn0020415,34979,Drosophila melanogaster,Imaginal disc growth factor 2(Idgf2)
FBgn0028526,34828,Drosophila melanogaster,CG15293 gene product from transcript CG15293-RC(CG15293)
FBgn0028527,34775,Drosophila melanogaster,CG18507 gene product from transcript CG18507-RC(CG18507)
FBgn0037727,41172,Drosophila melanogaster,CG8358 gene product from transcript CG8358-RA(CG8358)
FBgn0020416,34978,Drosophila melanogaster,Imaginal disc growth factor 1(Idgf1)
FBgn0262569,12798341,Drosophila melanogaster,CG43109 gene product from transcript CG43109-RA(CG43109)
FBgn0031700,33763,Drosophila melanogaster,CG14022 gene product from transcript CG14022-RA(CG14022)
FBgn0036824,40059,Drosophila melanogaster,CG3902 gene product from transcript CG3902-RA(CG3902)
FBgn0039040,42718,Drosophila melanogaster,CG13833 gene product from transcript CG13833-RA(CG13833)
FBgn0036620,39817,Drosophila melanogaster,CG4842 gene product from transcript CG4842-RA(CG4842)
FBgn0036826,40061,Drosophila melanogaster,asterix(arx)
FBgn0264607,43828,Drosophila melanogaster,Calcium/calmodulin-dependent protein kinase II(CaMKII)
FBgn0037081,40369,Drosophila melanogaster,barricade(barc)
FBgn0033735,36358,Drosophila melanogaster,CG8525 gene product from transcript CG8525-RA(CG8525)
FBgn0035763,38808,Drosophila melanogaster,CG8602 gene product from transcript CG8602-RA(CG8602)
FBgn0052017,317823,Drosophila melanogaster,CG32017 gene product from transcript CG32017-RD(CG32017)
FBgn0030451,32262,Drosophila melanogaster,CG15717 gene product from transcript CG15717-RE(CG15717)
FBgn0036309,39450,Drosophila melanogaster,Huntingtin interacting protein 1(Hip1)
FBgn0031702,33765,Drosophila melanogaster,fuseless(fusl)
FBgn0028519,34822,Drosophila melanogaster,CG4500 gene product from transcript CG4500-RA(CG4500)
FBgn0042185,59223,Drosophila melanogaster,CG18769 gene product from transcript CG18769-RH(CG18769)
FBgn0026403,36089,Drosophila melanogaster,Nidogen/entactin(Ndg)
FBgn0036622,39819,Drosophila melanogaster,CG4753 gene product from transcript CG4753-RB(CG4753)
FBgn0262574,12798406,Drosophila melanogaster,CG43114 gene product from transcript CG43114-RA(CG43114)
FBgn0040503,36235,Drosophila melanogaster,CG7763 gene product from transcript CG7763-RB(CG7763)
FBgn0028540,34779,Drosophila melanogaster,CG9008 gene product from transcript CG9008-RA(CG9008)
FBgn0028543,260645,Drosophila melanogaster,Nimrod B2(NimB2)
FBgn0028542,34814,Drosophila melanogaster,Nimrod B4(NimB4)
FBgn0036316,39458,Drosophila melanogaster,CG10960 gene product from transcript CG10960-RC(CG10960)
FBgn0035791,38842,Drosophila melanogaster,CG8539 gene product from transcript CG8539-RB(CG8539)
FBgn0263321,12797876,Drosophila melanogaster,CG43402 gene product from transcript CG43402-RB(CG43402)
FBgn0001079,32855,Drosophila melanogaster,fused(fu)
FBgn0260639,33501,Drosophila melanogaster,gamma-Tubulin at 23C(gammaTub23C)
FBgn0003062,37662,Drosophila melanogaster,Fibrillarin(Fib)
FBgn0033502,36082,Drosophila melanogaster,CG12910 gene product from transcript CG12910-RB(CG12910)
FBgn0003067,37131,Drosophila melanogaster,Phosphoenolpyruvate carboxykinase(Pepck)
FBgn0037709,41149,Drosophila melanogaster,CG8199 gene product from transcript CG8199-RA(CG8199)
FBgn0033710,36333,Drosophila melanogaster,CG17739 gene product from transcript CG17739-RA(CG17739)
FBgn0263330,12798216,Drosophila melanogaster,ncRNA(CR43411)
FBgn0035076,37980,Drosophila melanogaster,CG10142 gene product from transcript CG10142-RA(Ance-5)
FBgn0033713,36336,Drosophila melanogaster,CG8841 gene product from transcript CG8841-RC(CG8841)
FBgn0036323,39465,Drosophila melanogaster,CG14118 gene product from transcript CG14118-RA(CG14118)
FBgn0036194,39317,Drosophila melanogaster,CG11652 gene product from transcript CG11652-RA(CG11652)
FBgn0264863,14462394,Drosophila melanogaster,ncRNA(CR44054)
FBgn0037717,41160,Drosophila melanogaster,CG8301 gene product from transcript CG8301-RA(CG8301)
FBgn0037714,41156,Drosophila melanogaster,CG9396 gene product from transcript CG9396-RA(CG9396)
FBgn0263336,12798319,Drosophila melanogaster,ncRNA(CR43417)
FBgn0030121,31880,Drosophila melanogaster,CXXC finger protein 1(Cfp1)
FBgn0040104,53543,Drosophila melanogaster,CG3410 gene product from transcript CG3410-RA(lectin-24A)
FBgn0260753,31234,Drosophila melanogaster,Pigment-dispersing factor receptor(Pdfr)
FBgn0263116,37191,Drosophila melanogaster,5-hydroxytryptamine (serotonin) receptor 1B(5-HT1B)
FBgn0035529,38530,Drosophila melanogaster,Ferredoxin 2(Fdx2)
FBgn0032136,34283,Drosophila melanogaster,Apolipoprotein lipid transfer particle(Apoltp)
FBgn0039486,43264,Drosophila melanogaster,CG6074 gene product from transcript CG6074-RA(caix)
FBgn0046876,40747,Drosophila melanogaster,Odorant-binding protein 83ef(Obp83ef)
FBgn0051326,41728,Drosophila melanogaster,CG31326 gene product from transcript CG31326-RA(CG31326)
FBgn0030177,31943,Drosophila melanogaster,CG2972 gene product from transcript CG2972-RB(CG2972)
FBgn0035006,37901,Drosophila melanogaster,CG4563 gene product from transcript CG4563-RA(CG4563)
FBgn0040321,39020,Drosophila melanogaster,Gram-negative bacteria binding protein 3(GNBP3)
FBgn0046878,40746,Drosophila melanogaster,Odorant-binding protein 83cd(Obp83cd)
FBgn0038815,42444,Drosophila melanogaster,CG5466 gene product from transcript CG5466-RA(CG5466)
FBgn0035932,39011,Drosophila melanogaster,CG13308 gene product from transcript CG13308-RB(CG13308)
FBgn0052068,326189,Drosophila melanogaster,Acireductone dioxygenase 1(Adi1)
FBgn0053113,33721,Drosophila melanogaster,Reticulon-like1(Rtnl1)
FBgn0035936,39017,Drosophila melanogaster,Tetraspanin 66E(Tsp66E)
FBgn0030174,31940,Drosophila melanogaster,CG15312 gene product from transcript CG15312-RE(CG15312)
FBgn0039099,42788,Drosophila melanogaster,Gamma-interferon-inducible lysosomal thiol reductase 2(GILT2)
FBgn0032801,35242,Drosophila melanogaster,CG10165 gene product from transcript CG10165-RC(CG10165)
FBgn0026175,32996,Drosophila melanogaster,SKP1-related C(SkpC)
FBgn0053307,2768914,Drosophila melanogaster,CG33307 gene product from transcript CG33307-RB(CG33307)
FBgn0039091,42780,Drosophila melanogaster,CG10182 gene product from transcript CG10182-RA(CG10182)
FBgn0052260,317943,Drosophila melanogaster,CG32260 gene product from transcript CG32260-RC(CG32260)
FBgn0053301,2768917,Drosophila melanogaster,CG33301 gene product from transcript CG33301-RB(CG33301)
FBgn0010309,35200,Drosophila melanogaster,CG10739 gene product from transcript CG10739-RB(pigeon)
FBgn0259818,33176,Drosophila melanogaster,CG42399 gene product from transcript CG42399-RC(CG42399)
FBgn0038829,42463,Drosophila melanogaster,CG17271 gene product from transcript CG17271-RB(CG17271)
FBgn0053303,2768916,Drosophila melanogaster,CG33303 gene product from transcript CG33303-RB(CG33303)
FBgn0034277,37029,Drosophila melanogaster,Oligosaccharide transferase Delta subunit(OstDelta)
FBgn0004811,49505,Drosophila melanogaster,female sterile (2) ltoPP43(fs(2)ltoPP43)
FBgn0035922,38994,Drosophila melanogaster,Peroxin 7(Pex7)
FBgn0263510,36150,Drosophila melanogaster,no child left behind(nclb)
FBgn0023495,41643,Drosophila melanogaster,CG8823 gene product from transcript CG8823-RA(Lip3)
FBgn0040349,31046,Drosophila melanogaster,CG3699 gene product from transcript CG3699-RA(CG3699)
FBgn0035544,38546,Drosophila melanogaster,CG15021 gene product from transcript CG15021-RA(CG15021)
FBgn0033543,36128,Drosophila melanogaster,CG12338 gene product from transcript CG12338-RB(CG12338)
FBgn0030157,31920,Drosophila melanogaster,CG1468 gene product from transcript CG1468-RA(CG1468)
FBgn0051481,40826,Drosophila melanogaster,proboscipedia(pb)
FBgn0053137,36449,Drosophila melanogaster,CG33137 gene product from transcript CG33137-RB(CG33137)
FBgn0033958,36634,Drosophila melanogaster,CG12858 gene product from transcript CG12858-RB(CG12858)
FBgn0086450,31858,Drosophila melanogaster,suppressor of rudimentary(su(r))
FBgn0030151,31914,Drosophila melanogaster,CG1354 gene product from transcript CG1354-RD(CG1354)
FBgn0035228,38177,Drosophila melanogaster,CG12091 gene product from transcript CG12091-RB(CG12091)
FBgn0020236,36760,Drosophila melanogaster,ATP citrate lyase(ATPCL)
FBgn0002930,45908,Drosophila melanogaster,necrotic(nec)
FBgn0032167,34322,Drosophila melanogaster,CG5853 gene product from transcript CG5853-RC(CG5853)
FBgn0027657,41930,Drosophila melanogaster,globin 1(glob1)
FBgn0023479,39048,Drosophila melanogaster,CG4821 gene product from transcript CG4821-RG(Tequila)
FBgn0023477,37804,Drosophila melanogaster,Transaldolase(Taldo)
FBgn0038214,41731,Drosophila melanogaster,CG9616 gene product from transcript CG9616-RB(CG9616)
FBgn0053120,326260,Drosophila melanogaster,CG33120 gene product from transcript CG33120-RA(CG33120)
FBgn0033555,36142,Drosophila melanogaster,Ribosomal protein S15Ab(RpS15Ab)
FBgn0035235,38184,Drosophila melanogaster,CG7879 gene product from transcript CG7879-RB(CG7879)
FBgn0033170,35665,Drosophila melanogaster,secretory Phospholipase A2(sPLA2)
FBgn0038211,41727,Drosophila melanogaster,CG9649 gene product from transcript CG9649-RA(CG9649)
FBgn0010551,46038,Drosophila melanogaster,Prohibitin 2(Phb2)
FBgn0035947,39028,Drosophila melanogaster,Signal recognition particle protein 68(Srp68)
FBgn0030160,31923,Drosophila melanogaster,CG9691 gene product from transcript CG9691-RB(CG9691)
FBgn0035033,37932,Drosophila melanogaster,CG3548 gene product from transcript CG3548-RA(CG3548)
FBgn0034290,37053,Drosophila melanogaster,CG5773 gene product from transcript CG5773-RC(CG5773)
FBgn0034047,36744,Drosophila melanogaster,CG12970 gene product from transcript CG12970-RC(CG12970)
FBgn0051908,261613,Drosophila melanogaster,CG31908 gene product from transcript CG31908-RC(CG31908)
FBgn0039789,43636,Drosophila melanogaster,CG9717 gene product from transcript CG9717-RA(CG9717)
FBgn0034045,36742,Drosophila melanogaster,CG8249 gene product from transcript CG8249-RC(CG8249)
FBgn0085345,5740757,Drosophila melanogaster,CG34316 gene product from transcript CG34316-RA(CG34316)
FBgn0052756,318193,Drosophila melanogaster,CG32756 gene product from transcript CG32756-RB(CG32756)
FBgn0028993,3355151,Drosophila melanogaster,scarecrow(scro)
FBgn0039241,42973,Drosophila melanogaster,CG11089 gene product from transcript CG11089-RA(CG11089)
FBgn0039240,42972,Drosophila melanogaster,CG3744 gene product from transcript CG3744-RG(CG3744)
FBgn0034035,36730,Drosophila melanogaster,CG8207 gene product from transcript CG8207-RA(CG8207)
FBgn0034030,36723,Drosophila melanogaster,CG8192 gene product from transcript CG8192-RA(CG8192)
FBgn0062961,3771992,Drosophila melanogaster,putative noncoding RNA 016:2R(pncr016:2R)
FBgn0036381,39530,Drosophila melanogaster,CG8745 gene product from transcript CG8745-RA(CG8745)
FBgn0261436,40528,Drosophila melanogaster,Dihydropterin deaminase(DhpD)
FBgn0026878,31167,Drosophila melanogaster,CG4325 gene product from transcript CG4325-RB(CG4325)
FBgn0052226,40229,Drosophila melanogaster,Peroxin 23(Pex23)
FBgn0042104,59143,Drosophila melanogaster,CG18747 gene product from transcript CG18747-RB(CG18747)
FBgn0032835,35281,Drosophila melanogaster,CG16772 gene product from transcript CG16772-RA(CG16772)
FBgn0032836,35282,Drosophila melanogaster,CG10680 gene product from transcript CG10680-RB(CG10680)
FBgn0035267,38222,Drosophila melanogaster,CG13921 gene product from transcript CG13921-RF(CG13921)
FBgn0034269,37019,Drosophila melanogaster,CG6406 gene product from transcript CG6406-RA(CG6406)
FBgn0035266,38221,Drosophila melanogaster,Glycerol kinase(Gk)
FBgn0035714,38749,Drosophila melanogaster,CG8549 gene product from transcript CG8549-RA(CG8549)
FBgn0039767,43611,Drosophila melanogaster,CG2218 gene product from transcript CG2218-RA(CG2218)
FBgn0085320,5740331,Drosophila melanogaster,CG34291 gene product from transcript CG34291-RA(CG34291)
FBgn0035309,38274,Drosophila melanogaster,CG15879 gene product from transcript CG15879-RA(CG15879)
FBgn0042119,59158,Drosophila melanogaster,Cuticular protein 65Au(Cpr65Au)
FBgn0032820,35265,Drosophila melanogaster,"fructose-1,6-bisphosphatase(fbp)"
FBgn0004395,42738,Drosophila melanogaster,unkempt(unk)
FBgn0040582,50055,Drosophila melanogaster,CG5791 gene product from transcript CG5791-RB(CG5791)
FBgn0020278,42672,Drosophila melanogaster,locomotion defects(loco)
FBgn0034258,37005,Drosophila melanogaster,CG4954 gene product from transcript CG4954-RB(eIF3-S8)
FBgn0038257,41786,Drosophila melanogaster,Senescence marker protein-30(smp-30)
FBgn0051313,318677,Drosophila melanogaster,CG31313 gene product from transcript CG31313-RA(CG31313)
FBgn0035707,38740,Drosophila melanogaster,CG8368 gene product from transcript CG8368-RB(CG8368)
FBgn0038397,41953,Drosophila melanogaster,CG10185 gene product from transcript CG10185-RA(CG10185)
FBgn0035708,38741,Drosophila melanogaster,CG8398 gene product from transcript CG8398-RA(CG8398)
FBgn0266521,33863,Drosophila melanogaster,stathmin(stai)
FBgn0266720,41193,Drosophila melanogaster,Synaptosomal-associated protein 24kDa(Snap24)
FBgn0035313,38278,Drosophila melanogaster,CG13810 gene product from transcript CG13810-RB(CG13810)
FBgn0027610,41640,Drosophila melanogaster,Dicarboxylate carrier 1(Dic1)
FBgn0042129,59167,Drosophila melanogaster,Olfactory-specific 9(OS9)
FBgn0033593,36183,Drosophila melanogaster,CG9080 gene product from transcript CG9080-RA(Listericin)
FBgn0022160,47611,Drosophila melanogaster,Glycerophosphate oxidase-1(Gpo-1)
FBgn0038795,42421,Drosophila melanogaster,CG4335 gene product from transcript CG4335-RA(CG4335)
FBgn0011770,31960,Drosophila melanogaster,GIP-like(Gip)
FBgn0032614,35021,Drosophila melanogaster,CG13284 gene product from transcript CG13284-RE(CG13284)
FBgn0032613,35020,Drosophila melanogaster,CG13283 gene product from transcript CG13283-RA(CG13283)
FBgn0266441,19834908,Drosophila melanogaster,CG45071 gene product from transcript CG45071-RA(CG45071)
FBgn0039472,43248,Drosophila melanogaster,CG17192 gene product from transcript CG17192-RA(CG17192)
FBgn0034331,37102,Drosophila melanogaster,CG15067 gene product from transcript CG15067-RA(CG15067)
FBgn0034330,37101,Drosophila melanogaster,CG18107 gene product from transcript CG18107-RA(CG18107)
FBgn0032615,35022,Drosophila melanogaster,CG6012 gene product from transcript CG6012-RA(CG6012)
FBgn0038299,41829,Drosophila melanogaster,Serpin 88Eb(Spn88Eb)
FBgn0016675,35216,Drosophila melanogaster,Galactose-specific C-type lectin(Lectin-galC1)
FBgn0039678,43488,Drosophila melanogaster,Odorant-binding protein 99a(Obp99a)
FBgn0039679,43489,Drosophila melanogaster,pickpocket 19(ppk19)
FBgn0051414,318721,Drosophila melanogaster,CG31414 gene product from transcript CG31414-RC(CG31414)
FBgn0039674,43483,Drosophila melanogaster,CG1907 gene product from transcript CG1907-RA(CG1907)
FBgn0263083,12798343,Drosophila melanogaster,CG43351 gene product from transcript CG43351-RA(CG43351)
FBgn0032896,35354,Drosophila melanogaster,CG14400 gene product from transcript CG14400-RA(CG14400)
FBgn0004595,41363,Drosophila melanogaster,prospero(pros)
FBgn0033486,36061,Drosophila melanogaster,dampened(dmpd)
FBgn0033205,35708,Drosophila melanogaster,CG2064 gene product from transcript CG2064-RA(CG2064)
FBgn0039464,43240,Drosophila melanogaster,CG6330 gene product from transcript CG6330-RB(CG6330)
FBgn0066365,38531,Drosophila melanogaster,dusky-like(dyl)
FBgn0033204,35707,Drosophila melanogaster,CG2065 gene product from transcript CG2065-RB(CG2065)
FBgn0034733,37569,Drosophila melanogaster,CG4752 gene product from transcript CG4752-RA(CG4752)
FBgn0029990,31721,Drosophila melanogaster,CG2233 gene product from transcript CG2233-RA(CG2233)
FBgn0051683,261623,Drosophila melanogaster,CG31683 gene product from transcript CG31683-RA(CG31683)
FBgn0051814,318958,Drosophila melanogaster,CG31814 gene product from transcript CG31814-RA(CG31814)
FBgn0019929,31917,Drosophila melanogaster,CG2045 gene product from transcript CG2045-RA(Ser7)
FBgn0051687,318886,Drosophila melanogaster,CG31687 gene product from transcript CG31687-RC(CG31687)
FBgn0032494,34729,Drosophila melanogaster,CG5945 gene product from transcript CG5945-RB(CG5945)
FBgn0023542,31195,Drosophila melanogaster,Nonsense-mediated mRNA 3(Nmd3)
FBgn0014427,46391,Drosophila melanogaster,CG11899 gene product from transcript CG11899-RA(CG11899)
FBgn0034727,37563,Drosophila melanogaster,mitochondrial ribosomal protein S29(mRpS29)
FBgn0031110,33038,Drosophila melanogaster,Odorant-binding protein 19b(Obp19b)
FBgn0040395,31179,Drosophila melanogaster,CG3981 gene product from transcript CG3981-RC(Unc-76)
FBgn0015522,37039,Drosophila melanogaster,CG14489 gene product from transcript CG14489-RA(olf186-M)
FBgn0031980,34098,Drosophila melanogaster,Ribosomal protein L36A(RpL36A)
FBgn0040398,31055,Drosophila melanogaster,CG14629 gene product from transcript CG14629-RA(CG14629)
FBgn0015520,42026,Drosophila melanogaster,nonA-like(nonA-l)
FBgn0051431,326138,Drosophila melanogaster,CG31431 gene product from transcript CG31431-RC(CG31431)
FBgn0005278,48552,Drosophila melanogaster,S-adenosylmethionine Synthetase(Sam-S)
FBgn0031389,33385,Drosophila melanogaster,CG4259 gene product from transcript CG4259-RB(CG4259)
FBgn0031988,34107,Drosophila melanogaster,CG8668 gene product from transcript CG8668-RB(CG8668)
FBgn0038272,41802,Drosophila melanogaster,CG7265 gene product from transcript CG7265-RA(CG7265)
FBgn0031119,33049,Drosophila melanogaster,CG1812 gene product from transcript CG1812-RA(CG1812)
FBgn0026148,47730,Drosophila melanogaster,CG12253 gene product from transcript CG12253-RA(CG12253)
FBgn0051163,42601,Drosophila melanogaster,Shal K[+] channel interacting protein(SKIP)
FBgn0003204,43873,Drosophila melanogaster,raspberry(ras)
FBgn0001114,34193,Drosophila melanogaster,Glutactin(Glt)
FBgn0034717,37547,Drosophila melanogaster,CG5819 gene product from transcript CG5819-RC(CG5819)
FBgn0014417,46386,Drosophila melanogaster,CG13397 gene product from transcript CG13397-RB(CG13397)
FBgn0034321,37092,Drosophila melanogaster,CG14502 gene product from transcript CG14502-RC(CG14502)
FBgn0038286,41816,Drosophila melanogaster,CG6966 gene product from transcript CG6966-RC(CG6966)
FBgn0001112,40875,Drosophila melanogaster,Glucose dehydrogenase(Gld)
FBgn0266457,19835376,Drosophila melanogaster,ncRNA(CR45082)
FBgn0027073,37420,Drosophila melanogaster,CG4302 gene product from transcript CG4302-RA(CG4302)
FBgn0032262,34447,Drosophila melanogaster,CG7384 gene product from transcript CG7384-RA(CG7384)
FBgn0040370,30976,Drosophila melanogaster,CG13375 gene product from transcript CG13375-RB(CG13375)
FBgn0087002,43827,Drosophila melanogaster,Retinoid- and fatty acid-binding glycoprotein(Rfabg)
FBgn0001125,33373,Drosophila melanogaster,Glutamate oxaloacetate transaminase 2(Got2)
FBgn0037427,40774,Drosophila melanogaster,Osiris 17(Osi17)
FBgn0266488,19834964,Drosophila melanogaster,CG45087 gene product from transcript CG45087-RA(CG45087)
FBgn0001320,40287,Drosophila melanogaster,knirps(kni)
FBgn0267243,19835328,Drosophila melanogaster,ncRNA(CR45683)
FBgn0004569,39833,Drosophila melanogaster,argos(aos)
FBgn0266489,19835563,Drosophila melanogaster,CG45088 gene product from transcript CG45088-RA(CG45088)
FBgn0041234,37726,Drosophila melanogaster,Gustatory receptor 59f(Gr59f)
FBgn0041233,37725,Drosophila melanogaster,Gustatory receptor 59e(Gr59e)
FBgn0001124,36782,Drosophila melanogaster,Glutamate oxaloacetate transaminase 1(Got1)
FBgn0033250,35768,Drosophila melanogaster,CG14762 gene product from transcript CG14762-RA(CG14762)
FBgn0034500,37301,Drosophila melanogaster,Carbonyl reductase(CG11200)
FBgn0052687,31980,Drosophila melanogaster,CG32687 gene product from transcript CG32687-RB(CG32687)
FBgn0040376,31236,Drosophila melanogaster,CG13759 gene product from transcript CG13759-RB(CG13759)
FBgn0087013,40581,Drosophila melanogaster,Karyopherin beta 3(Karybeta3)
FBgn0023507,31184,Drosophila melanogaster,CG3835 gene product from transcript CG3835-RC(CG3835)
FBgn0027945,40349,Drosophila melanogaster,pumpless(ppl)
FBgn0053926,39092,Drosophila melanogaster,CG33926 gene product from transcript CG33926-RB(CG33926)
FBgn0032076,3771738,Drosophila melanogaster,CG9510 gene product from transcript CG9510-RD(CG9510)
FBgn0033247,35762,Drosophila melanogaster,Nucleoporin at 44A(Nup44A)
FBgn0004554,42117,Drosophila melanogaster,Ecdysone-dependent gene 91(Edg91)
FBgn0033246,35761,Drosophila melanogaster,Acetyl-CoA carboxylase(ACC)
FBgn0022984,37559,Drosophila melanogaster,quaking related 58E-3(qkr58E-3)
FBgn0031937,34049,Drosophila melanogaster,CG13795 gene product from transcript CG13795-RC(CG13795)
FBgn0030806,32684,Drosophila melanogaster,CG13001 gene product from transcript CG13001-RA(CG13001)
FBgn0033448,36011,Drosophila melanogaster,CG1623 gene product from transcript CG1623-RD(hebe)
FBgn0031936,34048,Drosophila melanogaster,CG13794 gene product from transcript CG13794-RA(CG13794)
FBgn0033446,36009,Drosophila melanogaster,CG1648 gene product from transcript CG1648-RC(CG1648)
FBgn0037433,40780,Drosophila melanogaster,CG17919 gene product from transcript CG17919-RA(CG17919)
FBgn0033443,36006,Drosophila melanogaster,CG1698 gene product from transcript CG1698-RA(CG1698)
FBgn0034308,37076,Drosophila melanogaster,CG10915 gene product from transcript CG10915-RB(CG10915)
FBgn0085360,33011,Drosophila melanogaster,CG34331 gene product from transcript CG34331-RC(CG34331)
FBgn0085195,5740596,Drosophila melanogaster,CG34166 gene product from transcript CG34166-RD(CG34166)
FBgn0051676,35351,Drosophila melanogaster,CG31676 gene product from transcript CG31676-RB(CG31676)
FBgn0038984,42656,Drosophila melanogaster,Adiponectin receptor(AdipoR)
FBgn0051674,318878,Drosophila melanogaster,CG31674 gene product from transcript CG31674-RA(CG31674)
FBgn0051673,35348,Drosophila melanogaster,CG31673 gene product from transcript CG31673-RB(CG31673)
FBgn0032287,34474,Drosophila melanogaster,CG6415 gene product from transcript CG6415-RA(CG6415)
FBgn0038033,3771756,Drosophila melanogaster,CG10097 gene product from transcript CG10097-RD(CG10097)
FBgn0270927,43746,Drosophila melanogaster,beta glucuronidase(betaGlu)
FBgn0023535,46717,Drosophila melanogaster,arginase(arg)
FBgn0052667,318146,Drosophila melanogaster,short spindle 7(ssp7)
FBgn0053508,3346226,Drosophila melanogaster,pickpocket 13(ppk13)
FBgn0053509,3346225,Drosophila melanogaster,CG33509 gene product from transcript CG33509-RA(CG33509)
FBgn0035496,38486,Drosophila melanogaster,CG14990 gene product from transcript CG14990-RA(CG14990)
FBgn0033437,35996,Drosophila melanogaster,CG12926 gene product from transcript CG12926-RA(CG12926)
FBgn0033232,35741,Drosophila melanogaster,CG12159 gene product from transcript CG12159-RB(CG12159)
FBgn0053506,3346177,Drosophila melanogaster,CG33506 gene product from transcript CG33506-RA(CG33506)
FBgn0032877,35331,Drosophila melanogaster,CG2617 gene product from transcript CG2617-RA(CG2617)
FBgn0033439,35999,Drosophila melanogaster,CG1773 gene product from transcript CG1773-RA(CG1773)
FBgn0040351,31050,Drosophila melanogaster,CG11638 gene product from transcript CG11638-RA(CG11638)
FBgn0086687,117369,Drosophila melanogaster,Desaturase 1(Desat1)
FBgn0004381,39332,Drosophila melanogaster,Kinesin-like protein at 68D(Klp68D)
FBgn0053503,2768720,Drosophila melanogaster,CG33503 gene product from transcript CG33503-RA(Cyp12d1-d)
FBgn0263846,33601,Drosophila melanogaster,CG43707 gene product from transcript CG43707-RF(CG43707)
FBgn0051663,33363,Drosophila melanogaster,CG31663 gene product from transcript CG31663-RC(CG31663)
FBgn0032053,34186,Drosophila melanogaster,mitochondrial ribosomal protein L51(mRpL51)
FBgn0267277,19835332,Drosophila melanogaster,ncRNA(CR45713)
FBgn0038588,42187,Drosophila melanogaster,CG7156 gene product from transcript CG7156-RA(CG7156)
FBgn0039407,43170,Drosophila melanogaster,CG14544 gene product from transcript CG14544-RA(CG14544)
FBgn0032889,35347,Drosophila melanogaster,CG9331 gene product from transcript CG9331-RK(CG9331)
FBgn0031959,34077,Drosophila melanogaster,spatzle 3(spz3)
FBgn0035484,38473,Drosophila melanogaster,CG11594 gene product from transcript CG11594-RA(CG11594)
FBgn0030828,32709,Drosophila melanogaster,CG5162 gene product from transcript CG5162-RB(CG5162)
FBgn0032886,35344,Drosophila melanogaster,CG9328 gene product from transcript CG9328-RB(CG9328)
FBgn0040364,31060,Drosophila melanogaster,CG11378 gene product from transcript CG11378-RB(CG11378)
FBgn0262057,40234,Drosophila melanogaster,Serpin 77Ba(Spn77Ba)
FBgn0032472,34704,Drosophila melanogaster,CG9928 gene product from transcript CG9928-RB(CG9928)
FBgn0039682,43494,Drosophila melanogaster,Odorant-binding protein 99c(Obp99c)
FBgn0014455,32471,Drosophila melanogaster,Adenosylhomocysteinase at 13(Ahcy13)
FBgn0019985,43838,Drosophila melanogaster,metabotropic Glutamate Receptor(mGluR)
FBgn0037917,41390,Drosophila melanogaster,whacked(wkd)
FBgn0029906,31623,Drosophila melanogaster,xiantuan(xit)
FBgn0031561,33592,Drosophila melanogaster,Immune induced molecule 33(IM33)
FBgn0031560,33591,Drosophila melanogaster,CG16713 gene product from transcript CG16713-RA(CG16713)
FBgn0030833,32715,Drosophila melanogaster,CG8915 gene product from transcript CG8915-RB(CG8915)
FBgn0034543,246485,Drosophila melanogaster,CG30152 gene product from transcript CG30152-RC(CG30152)
FBgn0014877,36508,Drosophila melanogaster,CG6155 gene product from transcript CG6155-RA(Roe1)
FBgn0261609,32617,Drosophila melanogaster,eukaryotic translation Initiation Factor 2alpha(eIF-2alpha)
FBgn0027790,38238,Drosophila melanogaster,CG12023 gene product from transcript CG12023-RA(GV1)
FBgn0038516,42106,Drosophila melanogaster,Pyrroline-5-carboxylate reductase-like 2(P5cr-2)
FBgn0033918,36584,Drosophila melanogaster,CG8531 gene product from transcript CG8531-RA(CG8531)
FBgn0038519,42109,Drosophila melanogaster,Peroxiredoxin 3(Prx3)
FBgn0031563,33594,Drosophila melanogaster,CG10031 gene product from transcript CG10031-RA(CG10031)
FBgn0033913,36577,Drosophila melanogaster,CG8468 gene product from transcript CG8468-RB(CG8468)
FBgn0032428,34654,Drosophila melanogaster,CG6405 gene product from transcript CG6405-RA(CG6405)
FBgn0037870,41337,Drosophila melanogaster,CG18577 gene product from transcript CG18577-RA(CG18577)
FBgn0004797,44887,Drosophila melanogaster,midway(mdy)
FBgn0027794,31095,Drosophila melanogaster,Leucine-rich pentatricopeptide repeat containing 2(Lrpprc2)
FBgn0040832,50305,Drosophila melanogaster,CG8012 gene product from transcript CG8012-RB(CG8012)
FBgn0001565,33118,Drosophila melanogaster,Helicase(Hlc)
FBgn0030841,32728,Drosophila melanogaster,CG8568 gene product from transcript CG8568-RA(CG8568)
